user_id,item_id,score
0,0,1
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,0
0,8,1
0,9,1
0,10,0
0,11,0
0,12,1
0,13,1
0,14,1
0,15,1
0,16,1
0,17,0
0,18,0
0,19,1
0,20,1
0,21,0
0,22,1
0,23,1
0,24,1
0,25,0
0,26,1
0,27,1
0,28,1
0,29,0
1,0,1
1,1,0
1,2,1
1,3,1
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,1
1,11,0
1,12,1
1,13,0
1,14,0
1,15,1
1,16,1
1,17,0
1,18,1
1,19,1
1,20,0
1,21,0
1,22,0
1,23,1
1,24,1
1,25,1
1,26,1
1,27,1
1,28,1
1,29,0
2,0,0
2,1,0
2,2,0
2,3,1
2,4,0
2,5,0
2,6,1
2,7,0
2,8,0
2,9,0
2,10,0
2,11,1
2,12,0
2,13,0
2,14,0
2,15,1
2,16,0
2,17,0
2,18,0
2,19,0
2,20,0
2,21,0
2,22,0
2,23,0
2,24,1
2,25,0
2,26,1
2,27,1
2,28,0
2,29,0
3,0,1
3,1,1
3,2,0
3,3,1
3,4,1
3,5,1
3,6,0
3,7,1
3,8,1
3,9,1
3,10,1
3,11,1
3,12,1
3,13,0
3,14,0
3,15,1
3,16,0
3,17,0
3,18,0
3,19,1
3,20,1
3,21,0
3,22,1
3,23,0
3,24,0
3,25,0
3,26,1
3,27,1
3,28,1
3,29,0
4,0,1
4,1,1
4,2,0
4,3,0
4,4,1
4,5,0
4,6,1
4,7,0
4,8,0
4,9,1
4,10,0
4,11,0
4,12,1
4,13,1
4,14,1
4,15,1
4,16,1
4,17,0
4,18,1
4,19,1
4,20,1
4,21,0
4,22,1
4,23,1
4,24,0
4,25,0
4,26,1
4,27,0
4,28,1
4,29,0
5,0,1
5,1,1
5,2,1
5,3,0
5,4,0
5,5,0
5,6,1
5,7,0
5,8,1
5,9,0
5,10,1
5,11,1
5,12,1
5,13,0
5,14,0
5,15,0
5,16,1
5,17,0
