epoch,loss_total,loss_rec,loss_weak_q,loss_sparse,loss_binary,loss_coverage,valid_acc,valid_auc,valid_rmse,q_logits_grad_abs_mean,q_soft_min,q_soft_max,q_soft_mean,q_soft_delta_from_init,q_hat_acc_vs_true,q_hat_precision_vs_true,q_hat_recall_vs_true,q_hat_f1_vs_true,q_hat_auc_vs_true,q_hat_hamming_vs_true,deleted_edge_recovery,added_edge_suppression,q_change_from_noise,q_change_0_to_1,q_change_1_to_0
1,0.9572241840691402,0.7170381504913856,0.0016936031401248077,0.44914255676598386,0.24398386375657444,0.0,0.5564267046804466,0.6587752777921352,0.49625857224979614,0.00019842951236381036,0.36876657605171204,0.6294218897819519,0.4152068495750427,0.07294942438602448,0.7681818181818182,1.0,0.23880597014925373,0.3855421686746988,1.0,0.2318181818181818,,,51,0,51
2,0.910062902960284,0.6882115345576714,0.013329105676505072,0.3810235570217001,0.2288531812614408,0.0,0.5564267046804466,0.7996630199468773,0.4914712135282501,0.000288812911031559,0.2808142900466919,0.7312134504318237,0.34662508964538574,0.1522320806980133,0.7681818181818182,1.0,0.23880597014925373,0.3855421686746988,1.0,0.2318181818181818,,,51,0,51
3,0.8315512435189609,0.6354250383788141,0.035881254179724334,0.31954611632330665,0.2029719036714784,0.0,0.7462580185317177,0.8368177323160086,0.42178328635411266,0.00038420189681848317,0.19898098707199097,0.8240897059440613,0.29824066162109375,0.2126258909702301,0.7727272727272727,1.0,0.2537313432835821,0.40476190476190477,0.9032289532728515,0.22727272727272727,,,50,0,50
4,0.6850334703922272,0.5116951481021684,0.058265176441135075,0.28088398431909495,0.17792081884269056,0.0,0.7451888809693514,0.8371283373821101,0.4046124648235649,0.0004318006008518217,0.15420787036418915,0.8695142269134521,0.26262587308883667,0.2542269825935364,0.7772727272727272,1.0,0.26865671641791045,0.4235294117647059,0.8143595746756415,0.22272727272727272,,,49,0,49
5,0.6346669155975868,0.4806649412574439,0.0775865002952773,0.2486694144277737,0.15656963427518977,0.0,0.7475647422190544,0.8394231842368028,0.4019731170690811,0.0004653250863815754,0.12792424857616425,0.8946734666824341,0.23595167696475983,0.28511056303977966,0.7727272727272727,1.0,0.2537313432835821,0.40476190476190477,0.8049946346697884,0.22727272727272727,,,50,0,50
6,0.60132228917089,0.4625653038764822,0.0932875400216415,0.225575294217159,0.1394188460604898,0.0,0.7485150867189356,0.8392457691387608,0.4023050541212876,0.0005230978040972018,0.10419809818267822,0.9161258339881897,0.21577239036560059,0.30880993604660034,0.7772727272727272,1.0,0.26865671641791045,0.4235294117647059,0.7774851234025949,0.22272727272727272,,,49,0,49
7,0.5776645983087605,0.45209688410676757,0.1072154551230628,0.20724271469075103,0.12435333816141918,0.0,0.7437633642195296,0.8381945146430634,0.4045786014901143,0.0005739184321257575,0.08047005534172058,0.9351725578308105,0.1990688294172287,0.3291466534137726,0.7772727272727272,1.0,0.26865671641791045,0.4235294117647059,0.7543654277631452,0.22272727272727272,,,49,0,49
8,0.5585206716225065,0.44440024834254693,0.11949204910418083,0.19239779690216327,0.11113255650832735,0.0,0.7481587075314802,0.8375827670305915,0.404161811853775,0.0005851973120147234,0.06225994974374771,0.9485507607460022,0.18595893681049347,0.34527143836021423,0.7772727272727272,1.0,0.26865671641791045,0.4235294117647059,0.7397327090039996,0.22272727272727272,,,49,0,49
9,0.5428042607060795,0.4382892656942894,0.1299368931815542,0.18069611438389482,0.09993567253495085,0.0,0.7473271560940841,0.8379430288845273,0.40469699297712164,0.0005709477790615296,0.049472346901893616,0.9582697153091431,0.17541725933551788,0.3583199977874756,0.7818181818181819,1.0,0.2835820895522388,0.4418604651162791,0.7257828504536143,0.21818181818181817,,,48,0,48
10,0.5309425489655857,0.434461139913263,0.13872626629369011,0.1713264176043971,0.09051556679709204,0.0,0.747208363031599,0.8365093285007206,0.4049713708280569,0.0005930458393212857,0.04032263904809952,0.965374231338501,0.16749277710914612,0.36817359924316406,0.7818181818181819,1.0,0.2835820895522388,0.4418604651162791,0.7135889181543265,0.21818181818181817,,,48,0,48
11,0.5203248889281832,0.43036807508304203,0.14593915178858,0.1640721079090546,0.08281581347872471,0.0,0.7461392254692326,0.8369160739107983,0.40499324562441924,0.0005389806906821143,0.033661600202322006,0.9706736207008362,0.16089048981666565,0.3766442835330963,0.7863636363636364,1.0,0.29850746268656714,0.45977011494252873,0.7026631548141645,0.21363636363636362,,,47,0,47
