mode,lambda_q,lambda_sparse,lambda_binary,lambda_coverage,valid_acc,valid_auc,valid_f1,valid_rmse,valid_bce,test_acc,test_auc,test_f1,test_rmse,test_bce,optimistic_acc,optimistic_auc,optimistic_rmse,q_hat_acc_vs_true,q_hat_precision_vs_true,q_hat_recall_vs_true,q_hat_f1_vs_true,q_hat_auc_vs_true,q_hat_hamming_vs_true,q_change_from_expert,q_change_0_to_1,q_change_1_to_0,q_density,best_epoch,status,result_dir,metrics_path
lq_0p05_ls_0_lb_0p3,0.05,0.0,0.3,0.0,0.7493466381563316,0.8358460373140029,0.7272492244053774,0.4061130243568083,0.48791434205650575,0.7373485388453315,0.8266300328389885,0.7046092184368737,0.41154555516883407,0.49756123940485386,0.7493466381563316,0.8358460373140029,0.4061130243568083,0.5772727272727273,0.39344262295081966,0.7164179104477612,0.5079365079365079,0.7230514096185737,0.42272727272727273,93,74,19,0.5545454545454546,11,success,Q_GNCDM\results\math1_lambda_grid\lq_0p05_ls_0_lb_0p3,Q_GNCDM\results\math1_lambda_grid\lq_0p05_ls_0_lb_0p3\metrics.json
lq_0p05_ls_0_lb_0p5,0.05,0.0,0.5,0.0,0.744951294844381,0.8349633357377472,0.7166424706348159,0.4075114527925122,0.49150837931400293,0.7378831076265147,0.8264442072264725,0.6989562725970394,0.4121627577944915,0.4988699444996835,0.744951294844381,0.8349633357377472,0.4075114527925122,0.6772727272727272,0.4791666666666667,0.6865671641791045,0.5644171779141104,0.7955321432055409,0.32272727272727275,71,50,21,0.43636363636363634,9,success,Q_GNCDM\results\math1_lambda_grid\lq_0p05_ls_0_lb_0p5,Q_GNCDM\results\math1_lambda_grid\lq_0p05_ls_0_lb_0p5\metrics.json
lq_0p05_ls_0_lb_0p8,0.05,0.0,0.8,0.0,0.743288191969589,0.8345025882135542,0.7239749648741857,0.4070244038262922,0.49931957211846456,0.7388334521263958,0.8275892881488941,0.7107807669538907,0.4089083302224022,0.5016959468328159,0.743288191969589,0.8345025882135542,0.4070244038262922,0.8863636363636364,0.7282608695652174,1.0,0.8427672955974843,0.9926836406204272,0.11363636363636363,25,25,0,0.41818181818181815,4,success,Q_GNCDM\results\math1_lambda_grid\lq_0p05_ls_0_lb_0p8,Q_GNCDM\results\math1_lambda_grid\lq_0p05_ls_0_lb_0p8\metrics.json
lq_0p05_ls_0p01_lb_0p3,0.05,0.01,0.3,0.0,0.7470895699691138,0.8357930357684389,0.7265253692999357,0.4068037182953443,0.48930782692567276,0.7383582798764552,0.8269355947621226,0.708297463744123,0.41218226703551086,0.4985953263740157,0.7470895699691138,0.8357930357684389,0.4068037182953443,0.6045454545454545,0.4180327868852459,0.7611940298507462,0.5396825396825397,0.7444151790069262,0.39545454545454545,87,71,16,0.5545454545454546,11,success,Q_GNCDM\results\math1_lambda_grid\lq_0p05_ls_0p01_lb_0p3,Q_GNCDM\results\math1_lambda_grid\lq_0p05_ls_0p01_lb_0p3\metrics.json
lq_0p05_ls_0p01_lb_0p5,0.05,0.01,0.5,0.0,0.7487526728439059,0.8332261200307193,0.7323123655233514,0.408987018677631,0.4958304233271682,0.7357448325017819,0.8234318218948774,0.7099171937145465,0.4144190949170002,0.503908477654535,0.7487526728439059,0.8332261200307193,0.408987018677631,0.75,0.5625,0.8059701492537313,0.6625766871165644,0.9134718564042532,0.25,55,42,13,0.43636363636363634,5,success,Q_GNCDM\results\math1_lambda_grid\lq_0p05_ls_0p01_lb_0p5,Q_GNCDM\results\math1_lambda_grid\lq_0p05_ls_0p01_lb_0p5\metrics.json
lq_0p05_ls_0p01_lb_0p8,0.05,0.01,0.8,0.0,0.7487526728439059,0.8347899229139119,0.7312237895539458,0.40589108293700643,0.49541050320543983,0.7416250890947969,0.8277001711504947,0.7147540983606557,0.40845969208013466,0.4987845094403416,0.7487526728439059,0.8347899229139119,0.40589108293700643,0.9727272727272728,0.9420289855072463,0.9701492537313433,0.9558823529411765,0.9947322212467076,0.02727272727272727,6,4,2,0.31363636363636366,3,success,Q_GNCDM\results\math1_lambda_grid\lq_0p05_ls_0p01_lb_0p8,Q_GNCDM\results\math1_lambda_grid\lq_0p05_ls_0p01_lb_0p8\metrics.json
lq_0p05_ls_0p05_lb_0p3,0.05,0.05,0.3,0.0,0.7440009503444999,0.8359872318304756,0.7141530706990317,0.4082083409140708,0.49349814110926116,0.7365169874079354,0.8264547792039613,0.695204067610279,0.41350613291205485,0.5025427985875957,0.7440009503444999,0.8359872318304756,0.4082083409140708,0.8363636363636363,0.8444444444444444,0.5671641791044776,0.6785714285714286,0.8478197249048873,0.16363636363636364,36,7,29,0.20454545454545456,9,success,Q_GNCDM\results\math1_lambda_grid\lq_0p05_ls_0p05_lb_0p3,Q_GNCDM\results\math1_lambda_grid\lq_0p05_ls_0p05_lb_0p3\metrics.json
lq_0p05_ls_0p05_lb_0p5,0.05,0.05,0.5,0.0,0.7441197434069851,0.8343234006797919,0.7136399893645307,0.41132680315609416,0.5012209955464656,0.7349132810643858,0.8241877543918191,0.6935384192817414,0.4172443664616832,0.5116937431544525,0.7441197434069851,0.8343234006797919,0.41132680315609416,0.85,0.84,0.6268656716417911,0.717948717948718,0.8786459857574871,0.15,33,8,25,0.22727272727272727,9,success,Q_GNCDM\results\math1_lambda_grid\lq_0p05_ls_0p05_lb_0p5,Q_GNCDM\results\math1_lambda_grid\lq_0p05_ls_0p05_lb_0p5\metrics.json
lq_0p05_ls_0p05_lb_0p8,0.05,0.05,0.8,0.0,0.7493466381563316,0.8337868672347304,0.7312786551197147,0.40826627927391357,0.502215028232452,0.7415656925635543,0.8266216922419941,0.7144076140466032,0.40978213299683564,0.5037605392011978,0.7493466381563316,0.8337868672347304,0.40826627927391357,0.85,0.8148148148148148,0.6567164179104478,0.7272727272727273,0.8980587259779533,0.15,33,10,23,0.24545454545454545,3,success,Q_GNCDM\results\math1_lambda_grid\lq_0p05_ls_0p05_lb_0p8,Q_GNCDM\results\math1_lambda_grid\lq_0p05_ls_0p05_lb_0p8\metrics.json
lq_0p05_ls_0p1_lb_0p3,0.05,0.1,0.3,0.0,0.7466143977191732,0.8362723938676926,0.7212857702861623,0.4080412909408806,0.4929215649705612,0.7387740555951532,0.827761530503448,0.7029181302350715,0.412230162085208,0.4996860101942167,0.7466143977191732,0.8362723938676926,0.4080412909408806,0.8272727272727273,0.8536585365853658,0.5223880597014925,0.6481481481481481,0.8050921861281827,0.17272727272727273,38,6,32,0.18636363636363637,6,success,Q_GNCDM\results\math1_lambda_grid\lq_0p05_ls_0p1_lb_0p3,Q_GNCDM\results\math1_lambda_grid\lq_0p05_ls_0p1_lb_0p3\metrics.json
