combinations=90 max_workers=2
{'name': 'lq_0p05_ls_0_lb_0p5', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p05_ls_0_lb_0p3', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p05_ls_0_lb_0p8', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p05_ls_0p01_lb_0p3', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p05_ls_0p01_lb_0p5', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p05_ls_0p01_lb_0p8', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p05_ls_0p05_lb_0p3', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p05_ls_0p05_lb_0p5', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p05_ls_0p05_lb_0p8', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p05_ls_0p1_lb_0p3', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p05_ls_0p1_lb_0p5', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p05_ls_0p1_lb_0p8', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p05_ls_0p2_lb_0p3', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p05_ls_0p2_lb_0p8', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p05_ls_0p2_lb_0p5', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p1_ls_0_lb_0p3', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p1_ls_0_lb_0p5', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p1_ls_0_lb_0p8', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p1_ls_0p01_lb_0p3', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p1_ls_0p01_lb_0p8', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p1_ls_0p01_lb_0p5', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p1_ls_0p05_lb_0p5', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p1_ls_0p05_lb_0p3', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p1_ls_0p05_lb_0p8', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p1_ls_0p1_lb_0p3', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p1_ls_0p1_lb_0p8', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p1_ls_0p1_lb_0p5', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p1_ls_0p2_lb_0p3', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p1_ls_0p2_lb_0p5', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p1_ls_0p2_lb_0p8', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p2_ls_0_lb_0p3', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p2_ls_0_lb_0p8', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p2_ls_0_lb_0p5', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p2_ls_0p01_lb_0p3', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p2_ls_0p01_lb_0p5', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p2_ls_0p01_lb_0p8', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p2_ls_0p05_lb_0p3', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p2_ls_0p05_lb_0p5', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p2_ls_0p05_lb_0p8', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p2_ls_0p1_lb_0p3', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p2_ls_0p1_lb_0p5', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p2_ls_0p1_lb_0p8', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p2_ls_0p2_lb_0p3', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p2_ls_0p2_lb_0p5', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p2_ls_0p2_lb_0p8', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p3_ls_0_lb_0p3', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p3_ls_0_lb_0p5', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p3_ls_0_lb_0p8', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p3_ls_0p01_lb_0p3', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p3_ls_0p01_lb_0p5', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p3_ls_0p01_lb_0p8', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p3_ls_0p05_lb_0p5', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p3_ls_0p05_lb_0p3', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p3_ls_0p05_lb_0p8', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p3_ls_0p1_lb_0p3', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p3_ls_0p1_lb_0p5', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p3_ls_0p1_lb_0p8', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p3_ls_0p2_lb_0p3', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p3_ls_0p2_lb_0p5', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p5_ls_0_lb_0p3', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p3_ls_0p2_lb_0p8', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p5_ls_0_lb_0p8', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p5_ls_0_lb_0p5', 'status': 'success', 'returncode': 0}
{'name': 'lq_0p5_ls_0p01_lb_0p5', 'status': 'success', 'returncode': 0}
