epoch,loss_total,loss_rec,loss_weak_q,loss_sparse,loss_binary,loss_coverage,valid_acc,valid_auc,valid_rmse,q_logits_grad_abs_mean,q_soft_min,q_soft_max,q_soft_mean,q_soft_delta_from_init,q_hat_acc_vs_true,q_hat_precision_vs_true,q_hat_recall_vs_true,q_hat_f1_vs_true,q_hat_auc_vs_true,q_hat_hamming_vs_true,deleted_edge_recovery,added_edge_suppression,q_change_from_noise,q_change_0_to_1,q_change_1_to_0
1,0.7506075470611967,0.7506075470611967,0.0,0.30909091234207153,0.0,0.0,0.5564267046804466,0.7315333066972456,0.49386891502769226,,0.0,1.0,0.30909091234207153,0.0,0.9681818181818181,0.9411764705882353,0.9552238805970149,0.9481481481481482,0.9645400448736708,0.031818181818181815,0.0,0.0,0,0,0
2,0.6899457460847395,0.6899457460847395,0.0,0.30909091234207153,0.0,0.0,0.6161796151104776,0.7229379082605567,0.48218792524857285,,0.0,1.0,0.30909091234207153,0.0,0.9681818181818181,0.9411764705882353,0.9552238805970149,0.9481481481481482,0.9645400448736708,0.031818181818181815,0.0,0.0,0,0,0
3,0.637568434764599,0.637568434764599,0.0,0.30909091234207153,0.0,0.0,0.6969588976003801,0.7810244289669512,0.44838480490505755,,0.0,1.0,0.30909091234207153,0.0,0.9681818181818181,0.9411764705882353,0.9552238805970149,0.9481481481481482,0.9645400448736708,0.031818181818181815,0.0,0.0,0,0,0
4,0.5505552307285112,0.5505552307285112,0.0,0.30909091234207153,0.0,0.0,0.7226181990971727,0.814432212223906,0.4206578744616864,,0.0,1.0,0.30909091234207153,0.0,0.9681818181818181,0.9411764705882353,0.9552238805970149,0.9481481481481482,0.9645400448736708,0.031818181818181815,0.0,0.0,0,0,0
5,0.4745541276602909,0.4745541276602909,0.0,0.30909091234207153,0.0,0.0,0.7355666429080542,0.8181502963741225,0.41524342042574686,,0.0,1.0,0.30909091234207153,0.0,0.9681818181818181,0.9411764705882353,0.9552238805970149,0.9481481481481482,0.9645400448736708,0.031818181818181815,0.0,0.0,0,0,0
6,0.43264082228315287,0.43264082228315287,0.0,0.30909091234207153,0.0,0.0,0.7324780232834402,0.817892635678239,0.42071480664314626,,0.0,1.0,0.30909091234207153,0.0,0.9681818181818181,0.9411764705882353,0.9552238805970149,0.9481481481481482,0.9645400448736708,0.031818181818181815,0.0,0.0,0,0,0
7,0.4113204427834215,0.4113204427834215,0.0,0.30909091234207153,0.0,0.0,0.7290330244713709,0.8162447564490359,0.4241871527020827,,0.0,1.0,0.30909091234207153,0.0,0.9681818181818181,0.9411764705882353,0.9552238805970149,0.9481481481481482,0.9645400448736708,0.031818181818181815,0.0,0.0,0,0,0
8,0.398944992957444,0.398944992957444,0.0,0.30909091234207153,0.0,0.0,0.7293894036588263,0.8172879492209746,0.42479855934092947,,0.0,1.0,0.30909091234207153,0.0,0.9681818181818181,0.9411764705882353,0.9552238805970149,0.9481481481481482,0.9645400448736708,0.031818181818181815,0.0,0.0,0,0,0
9,0.38628069799521875,0.38628069799521875,0.0,0.30909091234207153,0.0,0.0,0.7271323354716085,0.8164461280169715,0.42617471108574523,,0.0,1.0,0.30909091234207153,0.0,0.9681818181818181,0.9411764705882353,0.9552238805970149,0.9481481481481482,0.9645400448736708,0.031818181818181815,0.0,0.0,0,0,0
10,0.377278201538941,0.377278201538941,0.0,0.30909091234207153,0.0,0.0,0.7223806129722025,0.8133052289826859,0.4292210672458173,,0.0,1.0,0.30909091234207153,0.0,0.9681818181818181,0.9411764705882353,0.9552238805970149,0.9481481481481482,0.9645400448736708,0.031818181818181815,0.0,0.0,0,0,0
11,0.3682207752918375,0.3682207752918375,0.0,0.30909091234207153,0.0,0.0,0.7222618199097173,0.8134928784676276,0.4299897811617172,,0.0,1.0,0.30909091234207153,0.0,0.9681818181818181,0.9411764705882353,0.9552238805970149,0.9481481481481482,0.9645400448736708,0.031818181818181815,0.0,0.0,0,0,0
