epoch,loss_total,loss_rec,loss_weak_q,loss_sparse,loss_binary,loss_coverage,valid_acc,valid_auc,valid_rmse,q_logits_grad_abs_mean,q_soft_min,q_soft_max,q_soft_mean,q_soft_delta_from_init,q_hat_acc_vs_true,q_hat_precision_vs_true,q_hat_recall_vs_true,q_hat_f1_vs_true,q_hat_auc_vs_true,q_hat_hamming_vs_true,deleted_edge_recovery,added_edge_suppression,q_change_from_noise,q_change_0_to_1,q_change_1_to_0
1,1.0775750104723305,0.8351994732330585,0.0012572471933073506,0.4607665841949397,0.2441163409886689,0.0,0.5564267046804466,0.581597880532801,0.49935882314597496,0.00015886091844957514,0.37098389863967896,0.6230695247650146,0.43731945753097534,0.06094778701663017,0.8363636363636363,0.8444444444444444,0.5671641791044776,0.6785714285714286,0.9127889961954933,0.16363636363636364,0.0,0.36363636363636365,24,0,24
2,0.9441929593168455,0.7094635500990111,0.009540767553422985,0.41235750553936795,0.23232628713394032,0.0,0.5564267046804466,0.7206098711176225,0.49353548444056666,0.00017532935628972562,0.2997587323188782,0.6874045729637146,0.38826924562454224,0.12286673486232758,0.7818181818181819,0.7567567567567568,0.417910447761194,0.5384615384615384,0.9055701882743147,0.21818181818181817,0.1111111111111111,0.5454545454545454,42,5,37
3,0.9195976832817341,0.6917226520077936,0.024129338369801127,0.3679667027859852,0.21471860105621404,0.0,0.5564267046804466,0.7491662119320829,0.4877027577121003,0.00016724620745035596,0.23874115943908691,0.7511873245239258,0.3485659658908844,0.17638234794139862,0.7772727272727272,0.75,0.40298507462686567,0.5242718446601942,0.8892790947224661,0.22272727272727272,0.3333333333333333,0.5454545454545454,47,7,40
4,0.8907644974774328,0.6681598548231453,0.042889648277697895,0.33322006566771145,0.1937136262141425,0.0,0.5564267046804466,0.7739870587035285,0.4672895103740204,0.00017155557775524734,0.18256182968616486,0.8132402896881104,0.31938502192497253,0.22340428829193115,0.7681818181818182,0.7105263157894737,0.40298507462686567,0.5142857142857142,0.8647936786654961,0.2318181818181818,0.3333333333333333,0.5454545454545454,49,9,40
5,0.8279920148438421,0.6087780183759229,0.06228254459284503,0.30967940595643273,0.17302502177912613,0.0,0.7394868139700641,0.8140334141868956,0.4268571331937999,0.0001723341960439876,0.13365484774112701,0.8586009740829468,0.30147913098335266,0.25505560636520386,0.7545454545454545,0.6857142857142857,0.3582089552238806,0.47058823529411764,0.8030436055019022,0.24545454545454545,0.3333333333333333,0.7272727272727273,56,11,45
6,0.7731290315759594,0.5566259201230674,0.07497860761038189,0.2928144207288479,0.15904847558202415,0.0,0.740199572344975,0.8237680028011345,0.4161688067392355,0.00017525209415029605,0.09893281012773514,0.875885009765625,0.28427863121032715,0.2698749899864197,0.7681818181818182,0.7222222222222222,0.3880597014925373,0.5048543689320388,0.8006048190420447,0.2318181818181818,0.3333333333333333,0.7272727272727273,53,10,43
7,0.7465614131812391,0.5329659776440983,0.08212322754592731,0.2781297708379811,0.15010485001679125,0.0,0.7443573295319553,0.827470964072385,0.4119826041489251,0.00018290535131356968,0.07721299678087234,0.8855812549591064,0.27290967106819153,0.27670830488204956,0.7909090909090909,0.8,0.417910447761194,0.5490196078431373,0.8196273534289338,0.20909090909090908,0.3333333333333333,0.6363636363636364,46,6,40
8,0.7272058016267317,0.5158884114232557,0.08596554026007652,0.27007436392636136,0.1444219009115778,0.0,0.748039914468995,0.8317989662240075,0.4080456258303733,0.00021468252365092007,0.062105678021907806,0.9025572538375854,0.2683950364589691,0.2808207869529724,0.7772727272727272,0.78125,0.373134328358209,0.5050505050505051,0.8401131596917374,0.22272727272727272,0.2222222222222222,0.6363636363636364,47,5,42
9,0.7048556352483815,0.49501457296568774,0.08743800646786032,0.2685980221320843,0.14128856592137237,0.0,0.7464956046566881,0.8366768808516106,0.40416756294557954,0.00026005367594891517,0.051236096769571304,0.937774121761322,0.2700260281562805,0.2806142568588257,0.8090909090909091,0.8378378378378378,0.4626865671641791,0.5961538461538461,0.858647936786655,0.19090909090909092,0.2222222222222222,0.5454545454545454,38,3,35
10,0.6782149076461792,0.46928301813273593,0.08804487719618041,0.2724606564332699,0.13906240566023464,0.0,0.7438821572820147,0.8368305395934694,0.4042023160135184,0.00032901281444757275,0.043392281979322433,0.9559627771377563,0.274710476398468,0.2824150621891022,0.8045454545454546,0.8,0.47761194029850745,0.5981308411214953,0.8746463759633207,0.19545454545454546,0.1111111111111111,0.45454545454545453,35,3,32
