noise_rate,mode,model_mode,lambda_q,lambda_sparse,lambda_binary,lambda_coverage,valid_acc,valid_auc,valid_f1,valid_rmse,test_acc,test_auc,test_f1,test_rmse,q_noise_f1_vs_true,q_noise_hamming_vs_true,q_hat_f1_vs_true,q_hat_auc_vs_true,q_hat_hamming_vs_true,deleted_edge_recovery,added_edge_suppression,q_change_from_noise,q_change_0_to_1,q_change_1_to_0,q_hat_density,best_epoch,result_dir
0.05,fixed-noisy-q,fixed-noisy-q,0.0,0.0,0.0,0.0,0.7390116417201236,0.8234060256868247,0.7169908540512688,0.4108576974879647,0.732656212877168,0.8203312573166172,0.6998332777592531,0.4115414929414425,0.9777777777777777,0.013636363636363636,0.9777777777777777,0.9860013657204175,0.013636363636363636,0.0,0.0,0,0,0,0.3090909090909091,4,Q_GNCDM\results\math1_noisy_q\noise_0.05\fixed-noisy-q
0.05,weak-prediction-best,weak-q,0.2,0.1,0.8,0.0,0.7497030173437871,0.8368629580145426,0.7318314878452336,0.40588642384010243,0.739783796626277,0.8287246564280627,0.7120983110994282,0.4094569794261883,0.9777777777777777,0.013636363636363636,0.6078431372549019,0.8273339186420837,0.18181818181818182,0.0,1.0,41,4,37,0.1590909090909091,3,Q_GNCDM\results\math1_noisy_q\noise_0.05\weak-prediction-best
0.05,weak-balanced-best,weak-q,0.8,0.1,0.8,0.0,0.7451888809693514,0.8352257133996597,0.7214647448383327,0.4069923115520632,0.7385958660014256,0.82727350809178,0.7059137988640161,0.4105093447661563,0.9777777777777777,0.013636363636363636,0.7768595041322314,0.9025460930640913,0.12272727272727273,0.0,0.5,26,6,20,0.24545454545454545,4,Q_GNCDM\results\math1_noisy_q\noise_0.05\weak-balanced-best
0.1,fixed-noisy-q,fixed-noisy-q,0.0,0.0,0.0,0.0,0.7355666429080542,0.8181502963741225,0.7094753328112764,0.41524342042574686,0.7306367308149204,0.8136247746377914,0.6926882157620112,0.4168989376063799,0.9481481481481482,0.031818181818181815,0.9481481481481482,0.9645400448736708,0.031818181818181815,0.0,0.0,0,0,0,0.3090909090909091,5,Q_GNCDM\results\math1_noisy_q\noise_0.10\fixed-noisy-q
0.1,weak-prediction-best,weak-q,0.2,0.1,0.8,0.0,0.750415775718698,0.8380754183977456,0.7316387788989653,0.4053136324886581,0.739368020907579,0.8312987524142237,0.7111257406188282,0.40841950270065175,0.9481481481481482,0.031818181818181815,0.4583333333333333,0.7776802263193835,0.23636363636363636,0.0,0.0,45,3,42,0.1318181818181818,3,Q_GNCDM\results\math1_noisy_q\noise_0.10\weak-prediction-best
0.1,weak-balanced-best,weak-q,0.8,0.1,0.8,0.0,0.7473271560940841,0.8370234777978983,0.7314732988259058,0.40747167443295595,0.7419220717510098,0.8307878746004024,0.7174718772351908,0.40790008826149216,0.9481481481481482,0.031818181818181815,0.7288135593220338,0.8324065944785873,0.14545454545454545,0.0,0.0,25,4,21,0.2318181818181818,4,Q_GNCDM\results\math1_noisy_q\noise_0.10\weak-balanced-best
0.2,fixed-noisy-q,fixed-noisy-q,0.0,0.0,0.0,0.0,0.7387740555951532,0.8235616855657867,0.7173885104742321,0.41101659001513385,0.7371703492516037,0.8204690324248904,0.7067011334261285,0.41198139336657597,0.9185185185185185,0.05,0.9185185185185185,0.9430787240269243,0.05,0.0,0.0,0,0,0,0.3090909090909091,3,Q_GNCDM\results\math1_noisy_q\noise_0.20\fixed-noisy-q
0.2,weak-prediction-best,weak-q,0.2,0.1,0.8,0.0,0.7482775005939654,0.8386945130421537,0.7248409297493832,0.40506722761454483,0.7407935376574009,0.8319161010177292,0.707702612190221,0.40784587265749717,0.9185185185185185,0.05,0.5050505050505051,0.7695834552726561,0.22272727272727272,0.0,0.3333333333333333,42,3,39,0.14545454545454545,4,Q_GNCDM\results\math1_noisy_q\noise_0.20\weak-prediction-best
0.2,weak-balanced-best,weak-q,0.8,0.1,0.8,0.0,0.7486338797814208,0.8355375191480234,0.7323551732861118,0.40705261614402183,0.7397244000950345,0.8273380592576093,0.7137818419333769,0.41042147774475524,0.9185185185185185,0.05,0.71875,0.7909472246610088,0.16363636363636364,0.0,0.16666666666666666,27,10,17,0.2772727272727273,4,Q_GNCDM\results\math1_noisy_q\noise_0.20\weak-balanced-best
0.3,fixed-noisy-q,fixed-noisy-q,0.0,0.0,0.0,0.0,0.72832026609646,0.8120231290282891,0.6968853545394301,0.422174927100599,0.7238655262532668,0.804601079138935,0.6824670446007787,0.42576250203888966,0.8529411764705882,0.09090909090909091,0.8529411764705882,0.8968881084772217,0.09090909090909091,0.0,0.0,0,0,0,0.31363636363636366,4,Q_GNCDM\results\math1_noisy_q\noise_0.30\fixed-noisy-q
0.3,weak-prediction-best,weak-q,0.2,0.1,0.8,0.0,0.7470895699691138,0.8394057171686584,0.726806108045682,0.4031705906157473,0.7404965550011879,0.8331650747271274,0.7101439660319777,0.4060254295619809,0.8529411764705882,0.09090909090909091,0.5436893203883495,0.7378792312945077,0.21363636363636362,0.0,0.5454545454545454,39,3,36,0.16363636363636364,5,Q_GNCDM\results\math1_noisy_q\noise_0.30\weak-prediction-best
0.3,weak-balanced-best,weak-q,0.8,0.1,0.8,0.0,0.7438821572820147,0.8368305395934694,0.7265347539320142,0.4042023160135184,0.7379425041577572,0.8297289076339613,0.7114831284331676,0.4072769301099109,0.8529411764705882,0.09090909090909091,0.5981308411214953,0.8746463759633207,0.19545454545454546,0.1111111111111111,0.45454545454545453,35,3,32,0.18181818181818182,10,Q_GNCDM\results\math1_noisy_q\noise_0.30\weak-balanced-best
