epoch,loss_total,loss_rec,loss_weak_q,loss_sparse,loss_binary,loss_coverage,valid_acc,valid_auc,valid_rmse,q_logits_grad_abs_mean,q_soft_min,q_soft_max,q_soft_mean,q_soft_delta_from_init,q_hat_acc_vs_true,q_hat_precision_vs_true,q_hat_recall_vs_true,q_hat_f1_vs_true,q_hat_auc_vs_true,q_hat_hamming_vs_true,deleted_edge_recovery,added_edge_suppression,q_change_from_noise,q_change_0_to_1,q_change_1_to_0
1,1.1295222331737649,0.7630337476730347,0.0015993259146868915,0.4458891584955413,0.24458865692903256,0.0,0.5564267046804466,0.5834787207084986,0.49646975419300704,0.0006458634823753402,0.3779550790786743,0.48327142000198364,0.4110560417175293,0.06939852982759476,0.6954545454545454,0.0,0.0,0.0,1.0,0.30454545454545456,,,67,0,67
2,1.0329740047454834,0.7042075683330667,0.01038880628565776,0.3801945848711606,0.2334437722275997,0.0,0.5564267046804466,0.6305948648763617,0.49504436397769536,0.0005581512402919732,0.3127308189868927,0.4274847209453583,0.34970808029174805,0.13074642419815063,0.6954545454545454,0.0,0.0,0.0,1.0,0.30454545454545456,,,67,0,67
3,0.9853145767902506,0.6870616304463354,0.02505548128151688,0.32325382222389354,0.2169045240714632,0.0,0.5564267046804466,0.7477714765464445,0.4921912538182932,0.00048144167923400627,0.2549859583377838,0.39259618520736694,0.2976149022579193,0.18283963203430176,0.6954545454545454,0.0,0.0,0.0,1.0,0.30454545454545456,,,67,0,67
4,0.9409704958570415,0.6658810880677454,0.04189549001126454,0.27716430970307054,0.19865993564498835,0.0,0.5679496317415063,0.8198088959806648,0.46880687765112705,0.00040184162508953233,0.1992025375366211,0.42177242040634155,0.25911250710487366,0.22134201228618622,0.6954545454545454,0.0,0.0,0.0,0.973270900399961,0.30454545454545456,,,67,0,67
5,0.8260041393082718,0.563680162203723,0.055259214971086074,0.24971379802144808,0.1845355997311658,0.0,0.7455452601568069,0.8369803389994863,0.40754799889583987,0.0003987396008471541,0.1470424383878708,0.5106467604637146,0.24041061103343964,0.2405097633600235,0.6954545454545454,0.5,0.014925373134328358,0.028985507246376812,0.8185542873865964,0.30454545454545456,,,67,1,66
6,0.7449817904110613,0.4921799661784336,0.06642209353118107,0.2286895176973836,0.17273160892313924,0.0,0.7443573295319553,0.8394168663610911,0.4032279188350426,0.0005012687003633393,0.1254711002111435,0.5083908438682556,0.21785271167755127,0.26313266158103943,0.6909090909090909,0.0,0.0,0.0,0.8185542873865964,0.3090909090909091,,,68,1,67
7,0.7169810132733707,0.47319572907069635,0.07624931466476671,0.20925134934228043,0.16214987507154202,0.0,0.7454264670943217,0.8386664971227079,0.4035645069736703,0.0006057391156932211,0.11111869663000107,0.4866395592689514,0.20113199949264526,0.27965566515922546,0.6954545454545454,0.0,0.0,0.0,0.823822066139889,0.30454545454545456,,,67,0,67
8,0.6986754187222185,0.46162559914177864,0.08455682931275203,0.1943291518194922,0.15315634962813607,0.0,0.7459016393442623,0.8381966301308583,0.404620655646191,0.0007164909891736019,0.099896639585495,0.47681906819343567,0.1872950792312622,0.2934032678604126,0.6954545454545454,0.0,0.0,0.0,0.8180665300946249,0.30454545454545456,,,67,0,67
9,0.6878622112603023,0.45651515393421566,0.09232334625618212,0.18133800065722958,0.14479478602779322,0.0,0.7423378474697078,0.8377622690287554,0.4056691900595579,0.000772238713046857,0.09045116603374481,0.4670202136039734,0.17502513527870178,0.3055841624736786,0.6954545454545454,0.0,0.0,0.0,0.8152375378011902,0.30454545454545456,,,67,0,67
10,0.6793410305319161,0.452800775910246,0.09939248281820066,0.17015474443805628,0.13718166022465147,0.0,0.7438821572820147,0.8363305126067063,0.405147351995701,0.0008056473091308927,0.08229009062051773,0.46347591280937195,0.16501259803771973,0.31556445360183716,0.6954545454545454,0.0,0.0,0.0,0.8073358696712516,0.30454545454545456,,,67,0,67
11,0.67213551340432,0.4495871586018595,0.10557227941422627,0.16073380975887694,0.13051868255796104,0.0,0.744832501781896,0.8365383164010453,0.40507832759837636,0.0007931065468663542,0.07521022856235504,0.47025904059410095,0.15660083293914795,0.3240378499031067,0.6954545454545454,0.0,0.0,0.0,0.8008974734172276,0.30454545454545456,,,67,0,67
12,0.6657467587240811,0.44654954096366617,0.11111733265991869,0.15265670213206062,0.12455267343541672,0.0,0.7435257780945593,0.8365612723023871,0.40514483859626416,0.0008528073501957837,0.06473471224308014,0.45485061407089233,0.1487092822790146,0.3317893147468567,0.6954545454545454,0.0,0.0,0.0,0.7941664227880207,0.30454545454545456,,,67,0,67
