epoch,loss_total,loss_rec,loss_weak_q,loss_sparse,loss_binary,loss_coverage,valid_acc,valid_auc,valid_rmse,q_logits_grad_abs_mean,q_soft_min,q_soft_max,q_soft_mean,q_soft_delta_from_init,q_hat_acc_vs_true,q_hat_precision_vs_true,q_hat_recall_vs_true,q_hat_f1_vs_true,q_hat_auc_vs_true,q_hat_hamming_vs_true,deleted_edge_recovery,added_edge_suppression,q_change_from_noise,q_change_0_to_1,q_change_1_to_0
1,0.7290205195032317,0.7290205195032317,0.0,0.30454546213150024,0.0,0.0,0.5564267046804466,0.7573231040540979,0.4908440743540877,,0.0,1.0,0.30454546213150024,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,0,0,0
2,0.6729799498771799,0.6729799498771799,0.0,0.30454546213150024,0.0,0.0,0.6366120218579235,0.7686703804721952,0.46713183478140763,,0.0,1.0,0.30454546213150024,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,0,0,0
3,0.5844973880669166,0.5844973880669166,0.0,0.30454546213150024,0.0,0.0,0.7286766452839154,0.8094070424931744,0.42180860606250176,,0.0,1.0,0.30454546213150024,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,0,0,0
4,0.4854690905275016,0.4854690905275016,0.0,0.30454546213150024,0.0,0.0,0.7331907816583512,0.819082454624502,0.4141105194637049,,0.0,1.0,0.30454546213150024,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,0,0,0
5,0.4334514845034172,0.4334514845034172,0.0,0.30454546213150024,0.0,0.0,0.7325968163459254,0.8186039541554355,0.41879998826162784,,0.0,1.0,0.30454546213150024,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,0,0,0
6,0.4104897307938543,0.4104897307938543,0.0,0.30454546213150024,0.0,0.0,0.7315276787835591,0.818946434476825,0.4206590530126001,,0.0,1.0,0.30454546213150024,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,0,0,0
7,0.3965986504636962,0.3965986504636962,0.0,0.30454546213150024,0.0,0.0,0.7272511285340936,0.8171866059205299,0.42383448671954976,,0.0,1.0,0.30454546213150024,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,0,0,0
8,0.38464723476048174,0.38464723476048174,0.0,0.30454546213150024,0.0,0.0,0.7273699215965788,0.8185644459914821,0.42441043104702697,,0.0,1.0,0.30454546213150024,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,0,0,0
9,0.3757805634161522,0.3757805634161522,0.0,0.30454546213150024,0.0,0.0,0.7273699215965788,0.8169067897781459,0.42646484344505203,,0.0,1.0,0.30454546213150024,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,0,0,0
10,0.366466895773493,0.366466895773493,0.0,0.30454546213150024,0.0,0.0,0.7241625089094796,0.8142583419973041,0.42797854599269375,,0.0,1.0,0.30454546213150024,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,0,0,0
