epoch,loss_total,loss_rec,loss_weak_q,loss_sparse,loss_binary,loss_coverage,valid_acc,valid_auc,valid_rmse,q_logits_grad_abs_mean,q_soft_min,q_soft_max,q_soft_mean,q_soft_delta_from_init,q_hat_acc_vs_true,q_hat_precision_vs_true,q_hat_recall_vs_true,q_hat_f1_vs_true,q_hat_auc_vs_true,q_hat_hamming_vs_true,deleted_edge_recovery,added_edge_suppression,q_change_from_noise,q_change_0_to_1,q_change_1_to_0
1,0.7060001821353518,0.7060001821353518,0.0,0.5098725444283979,0.24809705157732143,0.0,0.5564267046804466,0.7112643035562608,0.48847068250852776,9.072446774270844e-05,0.3701191246509552,0.628669261932373,0.5212274789810181,0.06242746114730835,0.4,0.2789115646258503,0.6119402985074627,0.38317757009345793,0.4451273046532046,0.6,,,132,106,26
2,0.6322989484359478,0.6322989484359478,0.0,0.5316994221046053,0.23746158747837462,0.0,0.7230933713471134,0.8084015568617963,0.43374984283642615,0.00025871961858276083,0.26767873764038086,0.7206786870956421,0.5427064299583435,0.14728255569934845,0.42272727272727273,0.2972972972972973,0.6567164179104478,0.40930232558139534,0.4399570773583066,0.5772727272727273,,,127,104,23
3,0.49734501848960744,0.49734501848960744,0.0,0.550449301456583,0.2210815703046733,0.0,0.7457828462817772,0.8279091273349839,0.4119422938316693,0.0003419518754275612,0.2009156197309494,0.7871423363685608,0.5538904070854187,0.1667318344116211,0.42727272727272725,0.3096774193548387,0.7164179104477612,0.43243243243243246,0.46756414008389424,0.5727272727272728,,,126,107,19
4,0.46481644696202773,0.46481644696202773,0.0,0.5526786867914528,0.21852007097211376,0.0,0.7476835352815395,0.8320005093179804,0.4096875888266796,0.00029992412902206053,0.17500267922878265,0.8202409744262695,0.551375150680542,0.1614300161600113,0.41818181818181815,0.3032258064516129,0.7014925373134329,0.42342342342342343,0.49448834260072194,0.5818181818181818,,,128,108,20
5,0.4554244264446456,0.4554244264446456,0.0,0.5509035628417442,0.21800887610377936,0.0,0.7487526728439059,0.8341465287475351,0.40858346943092777,0.0002907661579103723,0.16120292246341705,0.838289737701416,0.5498567819595337,0.16081199049949646,0.41363636363636364,0.2987012987012987,0.6865671641791045,0.416289592760181,0.5055116573992781,0.5863636363636363,,,129,108,21
6,0.4495723211559756,0.4495723211559756,0.0,0.5492361876471289,0.21699919191927747,0.0,0.7476835352815395,0.8345623936252693,0.40782836179358445,0.0003029297588690152,0.15128374099731445,0.8491041660308838,0.5488659739494324,0.16052891314029694,0.41818181818181815,0.3032258064516129,0.7014925373134329,0.42342342342342343,0.515461906155497,0.5818181818181818,,,128,108,20
7,0.44565108932297803,0.44565108932297803,0.0,0.5475944794457535,0.21533793673433108,0.0,0.7464956046566881,0.8349941818368105,0.4079282169648067,0.00031080060705727225,0.14404022693634033,0.856792688369751,0.5470229983329773,0.16246181726455688,0.42272727272727273,0.3051948051948052,0.7014925373134329,0.4253393665158371,0.5250219490781387,0.5772727272727273,,,127,107,20
8,0.4415517397995653,0.4415517397995653,0.0,0.5461695091477756,0.21342931430915307,0.0,0.7467331907816583,0.8359018118638385,0.4069148229436213,0.00030160266710324855,0.1381658911705017,0.8721464276313782,0.5453308820724487,0.1659197360277176,0.42727272727272725,0.30718954248366015,0.7014925373134329,0.42727272727272725,0.5267778753292363,0.5727272727272728,,,126,106,20
9,0.438139497719962,0.438139497719962,0.0,0.5443897113717836,0.2110239416360855,0.0,0.7460204324067474,0.8365012381892889,0.40601466363889804,0.00031886489385465997,0.13064242899417877,0.8910978436470032,0.5428481101989746,0.1695624142885208,0.4318181818181818,0.30666666666666664,0.6865671641791045,0.423963133640553,0.5289240074139109,0.5681818181818182,,,125,104,21
10,0.43608597537566873,0.43608597537566873,0.0,0.5418499605409031,0.20828990124422928,0.0,0.7460204324067474,0.8358705941250274,0.40548333848990564,0.0003181980069273087,0.10584859549999237,0.9072220921516418,0.5404912829399109,0.17322051525115967,0.42727272727272725,0.30201342281879195,0.6716417910447762,0.4166666666666667,0.5317529997073456,0.5727272727272728,,,126,104,22
11,0.43299101652770206,0.43299101652770206,0.0,0.5389572710826479,0.20538138058678856,0.0,0.7474459491565693,0.8367505226970114,0.4056307216090088,0.0003071241223771157,0.0865926444530487,0.9201708436012268,0.5374657511711121,0.1779157519340515,0.42272727272727273,0.2945205479452055,0.6417910447761194,0.40375586854460094,0.5330211686664716,0.5772727272727273,,,127,103,24
12,0.4311079747717956,0.4311079747717956,0.0,0.5354847599720133,0.2024464036883979,0.0,0.7474459491565693,0.8366151600658112,0.40530676532454357,0.0003128819559512114,0.07340480387210846,0.9304895401000977,0.5339069962501526,0.18223777413368225,0.42727272727272725,0.296551724137931,0.6417910447761194,0.4056603773584906,0.5338991317920203,0.5727272727272728,,,126,102,24
13,0.43051979665098516,0.43051979665098516,0.0,0.5322778738778213,0.19943490829961052,0.0,0.7454264670943217,0.8367691904474176,0.4064797722205643,0.000338170073017205,0.06280463188886642,0.9395502209663391,0.5303118824958801,0.18745172023773193,0.44545454545454544,0.302158273381295,0.6268656716417911,0.4077669902912621,0.535069749292752,0.5545454545454546,,,122,97,25
14,0.4271707098031866,0.4271707098031866,0.0,0.5287744104862213,0.19617827236652374,0.0,0.7445949156569256,0.8365514667305811,0.4053804648848774,0.0003300351048077071,0.05379083380103111,0.9460328817367554,0.526873767375946,0.1934807151556015,0.4636363636363636,0.31386861313868614,0.6417910447761194,0.4215686274509804,0.5350697492927519,0.5363636363636364,,,118,94,24
15,0.4252001679149167,0.4252001679149167,0.0,0.5246039855069128,0.19273270949207502,0.0,0.7455452601568069,0.8367765946546997,0.40581833551025376,0.0003235777950412112,0.046375129371881485,0.9538847208023071,0.5222137570381165,0.1990954726934433,0.4818181818181818,0.32061068702290074,0.6268656716417911,0.42424242424242425,0.5367281240854551,0.5181818181818182,,,114,89,25
16,0.42339158571999647,0.42339158571999647,0.0,0.5199014863063549,0.1892937552826158,0.0,0.744951294844381,0.8360086154098078,0.40528386064704225,0.0003339676369595791,0.040524765849113464,0.9627313017845154,0.5177357196807861,0.20468966662883759,0.4818181818181818,0.3178294573643411,0.6119402985074627,0.41836734693877553,0.5356550580431179,0.5181818181818182,,,114,88,26
