run=weak-q_lq_0p7_ls_0p05_lb_0p2 mode=weak-q noise=0.20 train=4200 valid=600 test=1200
epoch=1 loss_total=0.797409 loss_rec=0.725314 valid_auc=0.595798 valid_rmse=0.499459 q_change=0 q_delta=0.036050 q_grad=0.000064
epoch=2 loss_total=0.774313 loss_rec=0.702638 valid_auc=0.610536 valid_rmse=0.497673 q_change=3 q_delta=0.039474 q_grad=0.000100
epoch=3 loss_total=0.763059 loss_rec=0.690819 valid_auc=0.628884 valid_rmse=0.493584 q_change=10 q_delta=0.044855 q_grad=0.000159
epoch=4 loss_total=0.743050 loss_rec=0.669906 valid_auc=0.648817 valid_rmse=0.485416 q_change=18 q_delta=0.054665 q_grad=0.000269
epoch=5 loss_total=0.721515 loss_rec=0.646980 valid_auc=0.661830 valid_rmse=0.480337 q_change=32 q_delta=0.066417 q_grad=0.000486
epoch=6 loss_total=0.703952 loss_rec=0.628545 valid_auc=0.668694 valid_rmse=0.478200 q_change=30 q_delta=0.070666 q_grad=0.000692
epoch=7 loss_total=0.695262 loss_rec=0.620024 valid_auc=0.672143 valid_rmse=0.478202 q_change=26 q_delta=0.071972 q_grad=0.000749
epoch=8 loss_total=0.693457 loss_rec=0.618268 valid_auc=0.670592 valid_rmse=0.478876 q_change=24 q_delta=0.073396 q_grad=0.000816
epoch=9 loss_total=0.690317 loss_rec=0.615263 valid_auc=0.674342 valid_rmse=0.477000 q_change=21 q_delta=0.075836 q_grad=0.000835
epoch=10 loss_total=0.695373 loss_rec=0.620419 valid_auc=0.673795 valid_rmse=0.478287 q_change=20 q_delta=0.078118 q_grad=0.000816
epoch=11 loss_total=0.695335 loss_rec=0.620377 valid_auc=0.673013 valid_rmse=0.477048 q_change=21 q_delta=0.079502 q_grad=0.000863
epoch=12 loss_total=0.689305 loss_rec=0.614430 valid_auc=0.673259 valid_rmse=0.478600 q_change=20 q_delta=0.080865 q_grad=0.000881
epoch=13 loss_total=0.687119 loss_rec=0.612355 valid_auc=0.673504 valid_rmse=0.476968 q_change=21 q_delta=0.083287 q_grad=0.000845
epoch=14 loss_total=0.689578 loss_rec=0.614791 valid_auc=0.672455 valid_rmse=0.479360 q_change=20 q_delta=0.085235 q_grad=0.000889
epoch=15 loss_total=0.687264 loss_rec=0.612381 valid_auc=0.673929 valid_rmse=0.477440 q_change=18 q_delta=0.087242 q_grad=0.000889
epoch=16 loss_total=0.690940 loss_rec=0.615984 valid_auc=0.673661 valid_rmse=0.477411 q_change=18 q_delta=0.089284 q_grad=0.000954
epoch=17 loss_total=0.686956 loss_rec=0.612100 valid_auc=0.673259 valid_rmse=0.477505 q_change=16 q_delta=0.090330 q_grad=0.000902
epoch=18 loss_total=0.684779 loss_rec=0.609905 valid_auc=0.673080 valid_rmse=0.478416 q_change=14 q_delta=0.091401 q_grad=0.000916
epoch=19 loss_total=0.684931 loss_rec=0.610014 valid_auc=0.673203 valid_rmse=0.478430 q_change=13 q_delta=0.093398 q_grad=0.000948
epoch=20 loss_total=0.684904 loss_rec=0.609964 valid_auc=0.674286 valid_rmse=0.477372 q_change=12 q_delta=0.094866 q_grad=0.000984
epoch=21 loss_total=0.681923 loss_rec=0.606876 valid_auc=0.674665 valid_rmse=0.478007 q_change=11 q_delta=0.096727 q_grad=0.000934
epoch=22 loss_total=0.681607 loss_rec=0.606506 valid_auc=0.672969 valid_rmse=0.478267 q_change=11 q_delta=0.098175 q_grad=0.000996
epoch=23 loss_total=0.682060 loss_rec=0.606860 valid_auc=0.672556 valid_rmse=0.478214 q_change=11 q_delta=0.099665 q_grad=0.000960
epoch=24 loss_total=0.679218 loss_rec=0.603977 valid_auc=0.672344 valid_rmse=0.478812 q_change=11 q_delta=0.101299 q_grad=0.000985
epoch=25 loss_total=0.679447 loss_rec=0.604064 valid_auc=0.672366 valid_rmse=0.478567 q_change=11 q_delta=0.103310 q_grad=0.001033
epoch=26 loss_total=0.678437 loss_rec=0.602956 valid_auc=0.672589 valid_rmse=0.478943 q_change=11 q_delta=0.104660 q_grad=0.001005
epoch=27 loss_total=0.678205 loss_rec=0.602620 valid_auc=0.673092 valid_rmse=0.479068 q_change=12 q_delta=0.106329 q_grad=0.001015
epoch=28 loss_total=0.683023 loss_rec=0.607311 valid_auc=0.672946 valid_rmse=0.479299 q_change=11 q_delta=0.108310 q_grad=0.001046
epoch=29 loss_total=0.678646 loss_rec=0.602787 valid_auc=0.674297 valid_rmse=0.477836 q_change=12 q_delta=0.109797 q_grad=0.001039
epoch=30 loss_total=0.677155 loss_rec=0.601125 valid_auc=0.675346 valid_rmse=0.479591 q_change=11 q_delta=0.111603 q_grad=0.001050
epoch=31 loss_total=0.676441 loss_rec=0.600297 valid_auc=0.674654 valid_rmse=0.478706 q_change=12 q_delta=0.112636 q_grad=0.001052
