epoch,loss_total,loss_rec,loss_weak_q,loss_sparse,loss_binary,loss_coverage,valid_acc,valid_auc,valid_rmse,q_logits_grad_abs_mean,q_soft_min,q_soft_max,q_soft_mean,q_soft_delta_from_init,q_hat_acc_vs_true,q_hat_precision_vs_true,q_hat_recall_vs_true,q_hat_f1_vs_true,q_hat_auc_vs_true,q_hat_hamming_vs_true,deleted_edge_recovery,added_edge_suppression,q_change_from_noise,q_change_0_to_1,q_change_1_to_0
1,0.979837870055979,0.7256372300061312,0.0019288927937867757,0.43560126198060584,0.24356850846247238,0.0,0.5083333333333333,0.58859375,0.49973049899582156,0.0002910551193053834,0.37061643600463867,0.48418256640434265,0.3987540602684021,0.07499592006206512,0.7666666666666667,0.0,0.0,0.0,0.9485636645962733,0.23333333333333334,0.0,1.0,57,0,57
2,0.9417491311376746,0.7055315592072227,0.011254609005074159,0.36906532085303106,0.2307376398733168,0.0,0.545,0.598984375,0.4990880773375973,0.00022026278593605667,0.30410534143447876,0.4513966739177704,0.3418642580509186,0.13188573718070984,0.7666666666666667,0.0,0.0,0.0,0.95215450310559,0.23333333333333334,0.0,1.0,57,0,57
3,0.9239347983490337,0.6985480108044364,0.02371344029564749,0.3207631192424081,0.21563151681965048,0.0,0.5866666666666667,0.6185044642857143,0.4977066906676453,0.00019277430714503157,0.2494916319847107,0.4434642493724823,0.3014984726905823,0.17225150763988495,0.7666666666666667,0.0,0.0,0.0,0.9480784161490683,0.23333333333333334,0.0,1.0,57,0,57
4,0.9085604241400054,0.6896982563264442,0.03566543944180012,0.2864817164160989,0.20163753312645535,0.0,0.6033333333333334,0.6438169642857143,0.4954117575008942,0.00019889782583270448,0.20269493758678436,0.45376330614089966,0.2737676501274109,0.19998236000537872,0.7666666666666667,0.0,0.0,0.0,0.9438082298136646,0.23333333333333334,0.0,1.0,57,0,57
5,0.8982824168422006,0.6827667807087754,0.04460196896935954,0.2658699674136711,0.19122575516953613,0.0,0.6133333333333333,0.6617857142857142,0.4894287487270651,0.0002664139467400894,0.1610921323299408,0.50110924243927,0.25965186953544617,0.21409811079502106,0.7708333333333334,1.0,0.017857142857142856,0.03508771929824561,0.9267274844720496,0.22916666666666666,0.0,1.0,56,0,56
6,0.8758394465301976,0.6612873899214196,0.04970666246883797,0.2575801078117255,0.1850840456106446,0.0,0.625,0.6699441964285715,0.48065749606466374,0.0004409995700839455,0.12825754284858704,0.5520204305648804,0.2567792236804962,0.21698760986328125,0.7791666666666667,1.0,0.05357142857142857,0.1016949152542373,0.9049883540372671,0.22083333333333333,0.0,1.0,54,0,54
7,0.8499726418292883,0.6354750503193248,0.05175858482041142,0.25594146278771485,0.18226483938368884,0.0,0.64,0.6765848214285715,0.4763828074172189,0.0006767365835416554,0.10889361053705215,0.5653502941131592,0.25500744581222534,0.21914364397525787,0.7833333333333333,1.0,0.07142857142857142,0.13333333333333333,0.907317546583851,0.21666666666666667,0.0,1.0,53,0,53
8,0.8407126845735492,0.6264887081854271,0.053460495828679115,0.2540685317733071,0.1797779437267419,0.0,0.64,0.6784709821428572,0.4756240769695676,0.0009100398994192029,0.09672997891902924,0.5659884810447693,0.2524714767932892,0.22177578508853912,0.7916666666666666,1.0,0.10714285714285714,0.1935483870967742,0.92090450310559,0.20833333333333334,0.0,1.0,51,0,51
9,0.8323806334625591,0.618609635215817,0.05541190092988087,0.2511514362060662,0.17710971854852908,0.0,0.64,0.6842075892857141,0.4727498765437289,0.001035643140009294,0.09048518538475037,0.5836654901504517,0.24947597086429596,0.22513628005981445,0.8083333333333333,1.0,0.17857142857142858,0.30303030303030304,0.9315799689440993,0.19166666666666668,0.0,1.0,47,0,47
10,0.83490267125043,0.6217110911102006,0.05810542348207849,0.24700272241325089,0.1735917686512976,0.0,0.6416666666666667,0.6823772321428572,0.4748162514134249,0.00107780058698898,0.08806108683347702,0.6364593505859375,0.24634361267089844,0.22924235463142395,0.8125,1.0,0.19642857142857142,0.3283582089552239,0.9394409937888198,0.1875,0.0,1.0,46,0,46
11,0.8321586341568918,0.6191952282732184,0.060129612797137466,0.24472841575290216,0.17085644738240677,0.0,0.65,0.6830357142857143,0.47347236489729566,0.001176302748111387,0.08527159690856934,0.6676211357116699,0.24286480247974396,0.23381274938583374,0.8166666666666667,1.0,0.21428571428571427,0.35294117647058826,0.9467197204968945,0.18333333333333332,0.0,1.0,45,0,45
12,0.8228147273713892,0.610150572476965,0.06256286066138383,0.24151155420325018,0.16780822024200903,0.0,0.6366666666666667,0.682265625,0.47525500518949915,0.001215034812709994,0.07931989431381226,0.6937872767448425,0.24005545675754547,0.2379499077796936,0.8125,0.9230769230769231,0.21428571428571427,0.34782608695652173,0.9508928571428571,0.1875,0.0,0.8333333333333334,44,0,44
13,0.8188496376528884,0.6065092339660182,0.0651772188192064,0.2381251682386254,0.16448669970938654,0.0,0.64,0.6824330357142857,0.47405327918984014,0.0012045733464853556,0.07068660110235214,0.7214926481246948,0.23605702817440033,0.24318760633468628,0.8208333333333333,0.9333333333333333,0.25,0.39436619718309857,0.953319099378882,0.17916666666666667,0.0,0.8333333333333334,42,0,42
14,0.8189408083756765,0.6067857850681652,0.06787675111131235,0.2349626419670654,0.16115429907134085,0.0,0.6433333333333333,0.6814955357142858,0.4759466723225429,0.0012733645950599264,0.06369978934526443,0.7453229427337646,0.23385104537010193,0.24710004031658173,0.8333333333333334,0.9444444444444444,0.30357142857142855,0.4594594594594595,0.9558423913043478,0.16666666666666666,0.0,0.8333333333333334,39,0,39
15,0.8142048255963759,0.6021274852030205,0.07047829788291093,0.23219453543424606,0.15797702448837686,0.0,0.6483333333333333,0.6833816964285714,0.4745080033593047,0.0012951454757995,0.057474058121442795,0.775036633014679,0.23082982003688812,0.25151312351226807,0.8416666666666667,0.95,0.3392857142857143,0.5,0.9578804347826086,0.15833333333333333,0.0,0.8333333333333334,37,0,37
16,0.8155400066664724,0.6034760258414529,0.07305359095335007,0.22971056740392337,0.15480515631762418,0.0,0.6516666666666666,0.6840401785714286,0.4747305410920719,0.0013984970053460336,0.05152693763375282,0.7960808277130127,0.22828792035579681,0.2556401491165161,0.8458333333333333,0.9523809523809523,0.35714285714285715,0.5194805194805194,0.9601125776397514,0.15416666666666667,0.0,0.8333333333333334,36,0,36
17,0.8103238073262301,0.5983465042981234,0.07551747741121234,0.22706473370393118,0.15178430577119192,0.0,0.6383333333333333,0.6833928571428571,0.47464203071067596,0.00133193708307138,0.04721721261739731,0.8114225268363953,0.2258433699607849,0.25935786962509155,0.85,0.9545454545454546,0.375,0.5384615384615384,0.9611801242236024,0.15,0.0,0.8333333333333334,35,0,35
18,0.8041147354877356,0.5921050301103881,0.07799583775076,0.22479851882566104,0.1487477986198483,0.0,0.6416666666666667,0.6843861607142857,0.47477558327975167,0.0013721366862724112,0.042184434831142426,0.8321577906608582,0.22354835271835327,0.2637026309967041,0.8541666666666666,0.9565217391304348,0.39285714285714285,0.5569620253164557,0.9613742236024845,0.14583333333333334,0.0,0.8333333333333334,34,0,34
19,0.8025831282138824,0.5906017856164412,0.08081177012486891,0.22183209906021753,0.145402243643096,0.0,0.645,0.6854910714285715,0.47538134356461587,0.0014495339463323805,0.03933870047330856,0.8447694778442383,0.22091232240200043,0.26844462752342224,0.8583333333333333,0.9583333333333334,0.4107142857142857,0.575,0.9619565217391303,0.14166666666666666,0.0,0.8333333333333334,33,0,33
20,0.7991766767068342,0.5871079252524809,0.08327409094481757,0.21970932027607254,0.14241855117407712,0.0,0.64,0.6880803571428572,0.47409118785938914,0.0015339507636698809,0.03539998084306717,0.8573514819145203,0.21828942000865936,0.27316612005233765,0.8625,0.96,0.42857142857142855,0.5925925925925926,0.9621506211180124,0.1375,0.0,0.8333333333333334,32,0,32
21,0.792868541948723,0.580693086439913,0.08594580480095113,0.2173457502415686,0.1392410205620708,0.0,0.645,0.6898102678571428,0.4748714191246309,0.0014732320824722674,0.03253457322716713,0.8703281283378601,0.2163500189781189,0.2772975564002991,0.8666666666666667,0.9615384615384616,0.44642857142857145,0.6097560975609756,0.9633152173913044,0.13333333333333333,0.0,0.8333333333333334,31,0,31
22,0.789598409876679,0.5773215266791257,0.08847352997823195,0.21518581608931223,0.1361899170460123,0.0,0.6466666666666666,0.6882254464285714,0.47499466510675215,0.0015949199494736438,0.03016708418726921,0.8815576434135437,0.2141425460577011,0.2815886437892914,0.8666666666666667,0.9615384615384616,0.44642857142857145,0.6097560975609756,0.9637034161490683,0.13333333333333333,0.0,0.8333333333333334,31,0,31
23,0.7855048875013987,0.5730931664055045,0.09104090590368617,0.21296403218399396,0.13317137188983685,0.0,0.6416666666666667,0.686484375,0.4755013081925553,0.0015584495779352658,0.027428727596998215,0.8885985016822815,0.21193154156208038,0.28558388352394104,0.875,0.9642857142857143,0.48214285714285715,0.6428571428571429,0.9633152173913044,0.125,0.0,0.8333333333333334,29,0,29
24,0.778759297096368,0.5662298220576663,0.09344453150124261,0.21096914600242267,0.13027730358369422,0.0,0.6416666666666667,0.6876450892857142,0.47604584039935327,0.0016160067841128418,0.025427740067243576,0.8947372436523438,0.20976582169532776,0.28948527574539185,0.8791666666666667,0.9655172413793104,0.5,0.6588235294117647,0.9638004658385092,0.12083333333333333,0.0,0.8333333333333334,28,0,28
25,0.7762698251189608,0.5635373623985233,0.0960685812839956,0.20891888349345236,0.12719014264417416,0.0,0.6433333333333333,0.6893526785714286,0.47626604562962477,0.0017255051731781075,0.022996196523308754,0.9045289754867554,0.20809312164783478,0.2933092415332794,0.8833333333333333,0.9666666666666667,0.5178571428571429,0.6744186046511628,0.9621506211180124,0.11666666666666667,0.0,0.8333333333333334,27,0,27
