lambda_q,lambda_sparse,lambda_binary,lambda_coverage,response_acc,response_auc,response_rmse,valid_acc,valid_auc,valid_rmse,q_hat_acc_vs_true,q_hat_precision_vs_true,q_hat_recall_vs_true,q_hat_f1_vs_true,q_hat_auc_vs_true,q_hat_hamming_vs_true,deleted_edge_recovery,added_edge_suppression,q_change_from_noise,q_change_0_to_1,q_change_1_to_0,loss_total,loss_rec,loss_weak_q,loss_sparse,loss_binary,loss_coverage,status,result_dir,metrics_path
0.05,0.05,0.05,0.0,0.6408333333333334,0.6888509606831524,0.47793593590889405,0.6266666666666667,0.6847544642857143,0.4862774580420019,0.8833333333333333,0.7916666666666666,0.6785714285714286,0.7307692307692307,0.9249805900621118,0.11666666666666667,0.2,0.6666666666666666,22,5,17,0.5232380678256353,0.4999015268051263,0.1279910755428401,0.2469331556648919,0.09180665106484384,0.0,success,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p05_lb_0p05,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p05_lb_0p05\seed_2026\noise_0.20\weak-q_lq_0p05_ls_0p05_lb_0p05\metrics.json
0.05,0.05,0.1,0.0,0.6283333333333333,0.6838779798968155,0.49005867962010885,0.6216666666666667,0.6891071428571428,0.49115952491946124,0.8916666666666667,0.8571428571428571,0.6428571428571429,0.7346938775510204,0.936626552795031,0.10833333333333334,0.0,0.6666666666666666,23,3,20,0.4599854029489286,0.4366911058173035,0.16390988772565668,0.19844677728233914,0.05176468120154106,0.0,success,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p05_lb_0p1,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p05_lb_0p1\seed_2026\noise_0.20\weak-q_lq_0p05_ls_0p05_lb_0p1\metrics.json
0.05,0.05,0.2,0.0,0.6341666666666667,0.6837473314356877,0.4897435249369459,0.6116666666666667,0.6911049107142857,0.4910813221249883,0.8958333333333334,0.8604651162790697,0.6607142857142857,0.7474747474747475,0.9552600931677018,0.10416666666666667,0.0,0.6666666666666666,24,4,20,0.4660737929922162,0.4389261562715877,0.16897460434472922,0.1931128930864912,0.04521631980032632,0.0,success,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p05_lb_0p2,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p05_lb_0p2\seed_2026\noise_0.20\weak-q_lq_0p05_ls_0p05_lb_0p2\metrics.json
0.05,0.05,0.3,0.0,0.6358333333333334,0.6900073385518591,0.486078178932165,0.63,0.6942299107142857,0.48754745904521507,0.9083333333333333,0.8695652173913043,0.7142857142857143,0.7843137254901961,0.9602096273291925,0.09166666666666666,0.0,0.5,18,2,16,0.4863329927126567,0.4528280347585678,0.16274567422541705,0.20549122808557568,0.050310378216884354,0.0,success,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p05_lb_0p3,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p05_lb_0p3\seed_2026\noise_0.20\weak-q_lq_0p05_ls_0p05_lb_0p3\metrics.json
0.05,0.05,0.4,0.0,0.6433333333333333,0.6889871686532646,0.48796463437693155,0.6483333333333333,0.7013727678571429,0.48408365285954824,0.9166666666666666,0.9285714285714286,0.6964285714285714,0.7959183673469388,0.9647709627329193,0.08333333333333333,0.0,0.5,13,0,13,0.4831895110282031,0.44771934232928534,0.16934807937253604,0.20313352956013245,0.04211522836351034,0.0,success,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p05_lb_0p4,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p05_lb_0p4\seed_2026\noise_0.20\weak-q_lq_0p05_ls_0p05_lb_0p4\metrics.json
0.05,0.05,0.5,0.0,0.6341666666666667,0.6810398505603986,0.4925384140781594,0.6466666666666666,0.7011941964285715,0.48782342171457754,0.9375,0.9361702127659575,0.7857142857142857,0.8543689320388349,0.9725349378881987,0.0625,0.0,0.5,12,0,12,0.4658003119808255,0.43304935729864874,0.1822176839817654,0.19785112910198444,0.027495030116176968,0.0,success,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p05_lb_0p5,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p05_lb_0p5\seed_2026\noise_0.20\weak-q_lq_0p05_ls_0p05_lb_0p5\metrics.json
0.05,0.05,0.6,0.0,0.6341666666666667,0.682357454189646,0.49212680555515054,0.6566666666666666,0.7015848214285713,0.48660705884168154,0.9416666666666667,0.9375,0.8035714285714286,0.8653846153846154,0.9751552795031054,0.058333333333333334,0.0,0.5,10,1,9,0.46756224650325195,0.43674984800093103,0.18956464529037476,0.20887607606974515,0.018150598318739372,0.0,success,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p05_lb_0p6,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p05_lb_0p6\seed_2026\noise_0.20\weak-q_lq_0p05_ls_0p05_lb_0p6\metrics.json
0.05,0.05,0.7,0.0,0.635,0.6850204589930617,0.4933048444775365,0.6583333333333333,0.6948102678571428,0.48897301914594143,0.9458333333333333,0.9215686274509803,0.8392857142857143,0.8785046728971962,0.9728260869565217,0.05416666666666667,0.2,0.3333333333333333,8,1,7,0.4558725162889018,0.4290908651821541,0.19745700399984012,0.2169653967474446,0.008657899741647821,0.0,success,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p05_lb_0p7,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p05_lb_0p7\seed_2026\noise_0.20\weak-q_lq_0p05_ls_0p05_lb_0p7\metrics.json
0.05,0.05,0.8,0.0,0.6383333333333333,0.6899044876356519,0.4873777162023693,0.6566666666666666,0.687578125,0.49162536183857763,0.9541666666666667,0.9090909090909091,0.8928571428571429,0.9009009009009009,0.9703027950310559,0.04583333333333333,0.0,0.16666666666666666,5,0,5,0.4892925994865822,0.4562456093051217,0.19037146053530954,0.23163114555857398,0.014933574253298117,0.0,success,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p05_lb_0p8,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p05_lb_0p8\seed_2026\noise_0.20\weak-q_lq_0p05_ls_0p05_lb_0p8\metrics.json
0.05,0.05,0.9,0.0,0.6325,0.685801570005337,0.4859206430609411,0.64,0.6843415178571429,0.48966935589096733,0.9541666666666667,0.9090909090909091,0.8928571428571429,0.9009009009009009,0.967294254658385,0.04583333333333333,0.0,0.16666666666666666,2,0,2,0.5003951033859542,0.4680773841612267,0.19243556757767996,0.2354440117875735,0.012137489675572424,0.0,success,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p05_lb_0p9,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p05_lb_0p9\seed_2026\noise_0.20\weak-q_lq_0p05_ls_0p05_lb_0p9\metrics.json
