epoch,loss_total,loss_rec,loss_weak_q,loss_sparse,loss_binary,loss_coverage,valid_acc,valid_auc,valid_rmse,q_hat_acc_vs_true,q_hat_precision_vs_true,q_hat_recall_vs_true,q_hat_f1_vs_true,q_hat_auc_vs_true,q_hat_hamming_vs_true,deleted_edge_recovery,added_edge_suppression,q_change_from_noise,q_change_0_to_1,q_change_1_to_0
1,0.7248612226861896,0.7248612226861896,0.0,0.24166665971279144,0.0,0.0,0.5066666666666667,0.5752901785714286,0.49924557680610765,0.975,0.9310344827586207,0.9642857142857143,0.9473684210526315,0.971273291925466,0.025,0.0,0.0,0,0,0
2,0.7028995499466405,0.7028995499466405,0.0,0.24166665971279144,0.0,0.0,0.54,0.5880915178571429,0.49806451434770793,0.975,0.9310344827586207,0.9642857142857143,0.9473684210526315,0.971273291925466,0.025,0.0,0.0,0,0,0
3,0.6913774447007612,0.6913774447007612,0.0,0.24166665971279144,0.0,0.0,0.555,0.5950111607142857,0.4955071251524678,0.975,0.9310344827586207,0.9642857142857143,0.9473684210526315,0.971273291925466,0.025,0.0,0.0,0,0,0
4,0.674940571640477,0.674940571640477,0.0,0.24166665971279144,0.0,0.0,0.5883333333333334,0.6120033482142857,0.4916702655015865,0.975,0.9310344827586207,0.9642857142857143,0.9473684210526315,0.971273291925466,0.025,0.0,0.0,0,0,0
5,0.6558671422076948,0.6558671422076948,0.0,0.24166665971279144,0.0,0.0,0.6016666666666667,0.6407812500000001,0.48536733718080066,0.975,0.9310344827586207,0.9642857142857143,0.9473684210526315,0.971273291925466,0.025,0.0,0.0,0,0,0
6,0.6204874343944319,0.6204874343944319,0.0,0.24166665971279144,0.0,0.0,0.6316666666666667,0.6713616071428572,0.47732540385514916,0.975,0.9310344827586207,0.9642857142857143,0.9473684210526315,0.971273291925466,0.025,0.0,0.0,0,0,0
7,0.577157120813023,0.577157120813023,0.0,0.24166665971279144,0.0,0.0,0.6366666666666667,0.6822544642857143,0.4756847082242256,0.975,0.9310344827586207,0.9642857142857143,0.9473684210526315,0.971273291925466,0.025,0.0,0.0,0,0,0
8,0.5500780885869806,0.5500780885869806,0.0,0.24166665971279144,0.0,0.0,0.6466666666666666,0.6868191964285715,0.47819697298329683,0.975,0.9310344827586207,0.9642857142857143,0.9473684210526315,0.971273291925466,0.025,0.0,0.0,0,0,0
9,0.5333179872144352,0.5333179872144352,0.0,0.24166665971279144,0.0,0.0,0.64,0.68453125,0.48191092887271936,0.975,0.9310344827586207,0.9642857142857143,0.9473684210526315,0.971273291925466,0.025,0.0,0.0,0,0,0
10,0.53262723801714,0.53262723801714,0.0,0.24166665971279144,0.0,0.0,0.6483333333333333,0.6871986607142857,0.4830300931262495,0.975,0.9310344827586207,0.9642857142857143,0.9473684210526315,0.971273291925466,0.025,0.0,0.0,0,0,0
11,0.5212730914354324,0.5212730914354324,0.0,0.24166665971279144,0.0,0.0,0.6416666666666667,0.6880133928571428,0.4832968850635861,0.975,0.9310344827586207,0.9642857142857143,0.9473684210526315,0.971273291925466,0.025,0.0,0.0,0,0,0
12,0.5030623638268673,0.5030623638268673,0.0,0.24166665971279144,0.0,0.0,0.6466666666666666,0.6825558035714285,0.48810460373795556,0.975,0.9310344827586207,0.9642857142857143,0.9473684210526315,0.971273291925466,0.025,0.0,0.0,0,0,0
13,0.5036942019607081,0.5036942019607081,0.0,0.24166665971279144,0.0,0.0,0.6416666666666667,0.6841294642857143,0.48662133695991017,0.975,0.9310344827586207,0.9642857142857143,0.9473684210526315,0.971273291925466,0.025,0.0,0.0,0,0,0
14,0.5005416662404032,0.5005416662404032,0.0,0.24166665971279144,0.0,0.0,0.645,0.6850892857142858,0.4873652656200573,0.975,0.9310344827586207,0.9642857142857143,0.9473684210526315,0.971273291925466,0.025,0.0,0.0,0,0,0
15,0.4930819846463926,0.4930819846463926,0.0,0.24166665971279144,0.0,0.0,0.6383333333333333,0.6884374999999998,0.4872892623496978,0.975,0.9310344827586207,0.9642857142857143,0.9473684210526315,0.971273291925466,0.025,0.0,0.0,0,0,0
16,0.49124163208585797,0.49124163208585797,0.0,0.24166665971279144,0.0,0.0,0.6366666666666667,0.6847879464285714,0.489780012767056,0.975,0.9310344827586207,0.9642857142857143,0.9473684210526315,0.971273291925466,0.025,0.0,0.0,0,0,0
17,0.4879532375118949,0.4879532375118949,0.0,0.24166665971279144,0.0,0.0,0.63,0.6852455357142857,0.4894912907238776,0.975,0.9310344827586207,0.9642857142857143,0.9473684210526315,0.971273291925466,0.025,0.0,0.0,0,0,0
18,0.48225216070810956,0.48225216070810956,0.0,0.24166665971279144,0.0,0.0,0.6433333333333333,0.6869642857142858,0.48917490885705656,0.975,0.9310344827586207,0.9642857142857143,0.9473684210526315,0.971273291925466,0.025,0.0,0.0,0,0,0
19,0.48334716666828503,0.48334716666828503,0.0,0.24166665971279144,0.0,0.0,0.645,0.688671875,0.4881374292036571,0.975,0.9310344827586207,0.9642857142857143,0.9473684210526315,0.971273291925466,0.025,0.0,0.0,0,0,0
20,0.47908942672339355,0.47908942672339355,0.0,0.24166665971279144,0.0,0.0,0.6433333333333333,0.6894977678571429,0.48729586976196027,0.975,0.9310344827586207,0.9642857142857143,0.9473684210526315,0.971273291925466,0.025,0.0,0.0,0,0,0
21,0.4755312804922913,0.4755312804922913,0.0,0.24166665971279144,0.0,0.0,0.645,0.6905245535714285,0.4878514041151384,0.975,0.9310344827586207,0.9642857142857143,0.9473684210526315,0.971273291925466,0.025,0.0,0.0,0,0,0
22,0.4733256548643112,0.4733256548643112,0.0,0.24166665971279144,0.0,0.0,0.645,0.6896986607142856,0.48785334525961804,0.975,0.9310344827586207,0.9642857142857143,0.9473684210526315,0.971273291925466,0.025,0.0,0.0,0,0,0
23,0.47065106350364105,0.47065106350364105,0.0,0.24166665971279144,0.0,0.0,0.6466666666666666,0.6884709821428571,0.48917949712162684,0.975,0.9310344827586207,0.9642857142857143,0.9473684210526315,0.971273291925466,0.025,0.0,0.0,0,0,0
24,0.4663759817679723,0.4663759817679723,0.0,0.24166665971279144,0.0,0.0,0.6466666666666666,0.6905580357142856,0.48917506373080955,0.975,0.9310344827586207,0.9642857142857143,0.9473684210526315,0.971273291925466,0.025,0.0,0.0,0,0,0
25,0.46510354768146167,0.46510354768146167,0.0,0.24166665971279144,0.0,0.0,0.6516666666666666,0.6930915178571428,0.48767124308396237,0.975,0.9310344827586207,0.9642857142857143,0.9473684210526315,0.971273291925466,0.025,0.0,0.0,0,0,0
26,0.4654211600621541,0.4654211600621541,0.0,0.24166665971279144,0.0,0.0,0.6483333333333333,0.69203125,0.4870692132368604,0.975,0.9310344827586207,0.9642857142857143,0.9473684210526315,0.971273291925466,0.025,0.0,0.0,0,0,0
27,0.46402911751559284,0.46402911751559284,0.0,0.24166665971279144,0.0,0.0,0.645,0.691484375,0.4892660390296886,0.975,0.9310344827586207,0.9642857142857143,0.9473684210526315,0.971273291925466,0.025,0.0,0.0,0,0,0
