epoch,loss_total,loss_rec,loss_weak_q,loss_sparse,loss_binary,loss_coverage,valid_acc,valid_auc,valid_rmse,q_logits_grad_abs_mean,q_soft_min,q_soft_max,q_soft_mean,q_soft_delta_from_init,q_hat_acc_vs_true,q_hat_precision_vs_true,q_hat_recall_vs_true,q_hat_f1_vs_true,q_hat_auc_vs_true,q_hat_hamming_vs_true,deleted_edge_recovery,added_edge_suppression,q_change_from_noise,q_change_0_to_1,q_change_1_to_0
1,0.7248277700308597,0.7248263648062041,0.0001400346972087446,0.4762746330463525,0.24742090160196478,0.0,0.5433333333333333,0.6018303571428572,0.4991012639849533,5.3650095210424766e-05,0.4027012884616852,0.5957404971122742,0.4825037121772766,0.017001520842313766,0.975,0.9310344827586207,0.9642857142857143,0.9473684210526315,0.970108695652174,0.025,0.0,0.0,0,0,0
2,0.7000387021989534,0.7000255015763369,0.0013201446792774016,0.4917477003552697,0.24676833008274887,0.0,0.5766666666666667,0.6189285714285714,0.4962653178474351,0.00010777897533085762,0.34315773844718933,0.6524668335914612,0.502303957939148,0.043579187244176865,0.7333333333333333,0.46551724137931033,0.9642857142857143,0.627906976744186,0.9457492236024845,0.26666666666666666,0.5,0.0,60,59,1
3,0.6844961724498055,0.6844443543390795,0.005182066572491418,0.5114103302811132,0.24364480579441244,0.0,0.595,0.6418191964285714,0.4895979342136335,0.00018394744146269548,0.2824976444244385,0.7085006833076477,0.5206546187400818,0.07896780967712402,0.5708333333333333,0.3401360544217687,0.8928571428571429,0.49261083743842365,0.8614130434782609,0.42916666666666664,0.5,0.0,99,94,5
4,0.6560498837268713,0.6559338370958964,0.011604246330645048,0.5269534705263196,0.23766427487134933,0.0,0.62,0.6618526785714285,0.48002101577375617,0.0003258364643746366,0.22845661640167236,0.7758895754814148,0.534009575843811,0.10848035663366318,0.5375,0.3202614379084967,0.875,0.4688995215311005,0.8084239130434784,0.4625,0.5,0.0,107,101,6
5,0.6362071479811813,0.6360231854698875,0.018396436250909712,0.5374609620282145,0.23105281388217752,0.0,0.6283333333333333,0.6709040178571429,0.47855723682304235,0.0005251947573428465,0.19450055062770844,0.8179765343666077,0.5395638346672058,0.1267334520816803,0.5291666666666667,0.3137254901960784,0.8571428571428571,0.45933014354066987,0.7886257763975155,0.4708333333333333,0.5,0.0,109,102,7
6,0.6249623181241931,0.6247397616054072,0.022256053052842617,0.5392835889801835,0.22687376493757422,0.0,0.6433333333333333,0.673984375,0.47719827386382824,0.0006380526421267087,0.18265162408351898,0.83876633644104,0.5390476584434509,0.13244082033634186,0.525,0.3116883116883117,0.8571428571428571,0.45714285714285713,0.7898874223602483,0.475,0.5,0.0,110,103,7
7,0.6182536722132654,0.6180198386763082,0.023383347374020202,0.5387809890689272,0.22549578773252893,0.0,0.6416666666666667,0.6764397321428572,0.4772071187537691,0.0006342307249062949,0.1771208941936493,0.8484559655189514,0.5382289886474609,0.13342857360839844,0.5291666666666667,0.3161290322580645,0.875,0.46445497630331756,0.7912461180124224,0.4708333333333333,0.5,0.0,109,103,6
8,0.6171223530263612,0.6168757749326301,0.02465772975913503,0.538134181138241,0.22390634363347833,0.0,0.64,0.6754241071428573,0.47748476334225043,0.0006692133527284375,0.1659059375524521,0.8550866842269897,0.5375757813453674,0.13490676879882812,0.5333333333333333,0.3181818181818182,0.875,0.4666666666666667,0.7943517080745341,0.4666666666666667,0.5,0.0,108,102,6
9,0.6143947487527673,0.6141413725686796,0.02533734567237623,0.537379039959474,0.22292394642577026,0.0,0.645,0.6776674107142857,0.47631829390673625,0.0006683053326207411,0.14946027100086212,0.8640931844711304,0.536483108997345,0.13558173179626465,0.5458333333333333,0.32450331125827814,0.875,0.47342995169082125,0.7997864906832298,0.45416666666666666,0.5,0.0,105,99,6
10,0.6196390783244913,0.6193789704279467,0.02601053641939705,0.5352000874100309,0.22184603638721234,0.0,0.6416666666666667,0.6766852678571429,0.47730289322000385,0.000640264441961225,0.13866254687309265,0.8755313754081726,0.5352262854576111,0.13696132600307465,0.5583333333333333,0.3310810810810811,0.875,0.4803921568627451,0.8031832298136645,0.44166666666666665,0.5,0.0,102,96,6
11,0.6194495757420858,0.6191793355074796,0.027024286404026276,0.5346436229619113,0.22051410580223257,0.0,0.6416666666666667,0.6764174107142857,0.47625908051547017,0.0006707724678562954,0.12591321766376495,0.8828473687171936,0.5339618921279907,0.13818460702896118,0.5666666666666667,0.3356164383561644,0.875,0.48514851485148514,0.8064829192546584,0.43333333333333335,0.5,0.0,100,94,6
12,0.614417984178572,0.6141419528108655,0.027603183365003628,0.5333966721187938,0.21967746249654077,0.0,0.6366666666666667,0.676328125,0.47772760183190305,0.0006697523834494253,0.1166779100894928,0.8876429796218872,0.532979428768158,0.1392158567905426,0.5791666666666667,0.34265734265734266,0.875,0.49246231155778897,0.8098796583850931,0.42083333333333334,0.5,0.0,97,91,6
13,0.6117378464250853,0.6114581462108728,0.027970051816241306,0.5320885190458009,0.21900291740894318,0.0,0.6433333333333333,0.6762388392857143,0.4762994581679766,0.0006312838527127028,0.10767234861850739,0.895376443862915,0.5307525396347046,0.13994689285755157,0.6083333333333333,0.3602941176470588,0.875,0.5104166666666666,0.8161878881987579,0.39166666666666666,0.5,0.0,90,84,6
14,0.6138881797140295,0.6136001908417904,0.02879897217181596,0.5301393640763832,0.21780637832302036,0.0,0.6316666666666667,0.6754687500000001,0.47857741255724257,0.0006617419708301454,0.09890501946210861,0.8998604416847229,0.5297399759292603,0.14223268628120422,0.6083333333333333,0.3602941176470588,0.875,0.5104166666666666,0.8191964285714286,0.39166666666666666,0.5,0.0,90,84,6
15,0.6118979589505629,0.6116002328468092,0.02977267700727239,0.5284419357776642,0.21646884309523035,0.0,0.6433333333333333,0.6762388392857143,0.476937189303639,0.0006543748714841169,0.09193632006645203,0.9052132964134216,0.5276090502738953,0.1433795541524887,0.6208333333333333,0.3684210526315789,0.875,0.5185185185185185,0.8236607142857144,0.37916666666666665,0.5,0.0,87,81,6
16,0.6152891543778506,0.6149820766665719,0.030707675370980392,0.526561542893901,0.2151594805446538,0.0,0.6433333333333333,0.6765178571428572,0.4768261249189765,0.0006994392086088544,0.08453170955181122,0.910065233707428,0.5255498290061951,0.14498138427734375,0.6375,0.3798449612403101,0.875,0.5297297297297298,0.827251552795031,0.3625,0.5,0.25,85,78,7
17,0.610958459702405,0.6106451722708616,0.03132872063327919,0.5250030196074283,0.2142050022428686,0.0,0.645,0.67625,0.47687347399388547,0.0006500404388961298,0.07988827675580978,0.9173637628555298,0.5242017507553101,0.1467815786600113,0.6416666666666667,0.3828125,0.875,0.532608695652174,0.8314246894409938,0.35833333333333334,0.5,0.25,84,77,7
18,0.6084447927547224,0.6081233539364554,0.03214422957689473,0.5233549222801671,0.21305538443001834,0.0,0.6333333333333333,0.6758816964285714,0.4778589586040207,0.0006544877793534066,0.07416579127311707,0.924140989780426,0.5225414633750916,0.14852578938007355,0.65,0.390625,0.8928571428571429,0.5434782608695652,0.8356948757763976,0.35,0.5,0.25,82,76,6
19,0.6087071909145876,0.6083778775099552,0.032931314668420586,0.520798017581304,0.21188602370746207,0.0,0.64,0.6756249999999999,0.47768160500918044,0.0006696774133050701,0.07063192874193192,0.9300723671913147,0.5199718475341797,0.1505887657403946,0.6625,0.3983739837398374,0.875,0.547486033519553,0.8377329192546583,0.3375,0.5,0.25,79,72,7
20,0.6081796550389492,0.6078403330210483,0.033932043691024635,0.5190605476047053,0.21053610584049515,0.0,0.6433333333333333,0.6760156250000001,0.47694226249025085,0.0006896202976349741,0.06680566817522049,0.9356126189231873,0.5177090167999268,0.15260228514671326,0.6666666666666666,0.4016393442622951,0.875,0.550561797752809,0.8414208074534161,0.3333333333333333,0.5,0.25,78,71,7
21,0.6050047206156182,0.604655022874023,0.03496959026564251,0.5166720928567828,0.20910465627005606,0.0,0.6416666666666667,0.6765178571428572,0.4775092436710995,0.000653582742388332,0.06216154620051384,0.9403228759765625,0.5156289935112,0.15556158125400543,0.6708333333333333,0.4049586776859504,0.875,0.5536723163841808,0.843652950310559,0.32916666666666666,0.5,0.25,77,70,7
22,0.6040703509793137,0.6037097212040063,0.03606275226356405,0.5145046683874998,0.20760218889424295,0.0,0.6383333333333333,0.6757366071428571,0.4776209792008495,0.0006879513133423064,0.05911485478281975,0.9450135827064514,0.5134170055389404,0.15815074741840363,0.6708333333333333,0.4049586776859504,0.875,0.5536723163841808,0.8482142857142856,0.32916666666666666,0.5,0.25,77,70,7
