epoch,loss_total,loss_rec,loss_weak_q,loss_sparse,loss_binary,loss_coverage,valid_acc,valid_auc,valid_rmse,q_logits_grad_abs_mean,q_soft_min,q_soft_max,q_soft_mean,q_soft_delta_from_init,q_hat_acc_vs_true,q_hat_precision_vs_true,q_hat_recall_vs_true,q_hat_f1_vs_true,q_hat_auc_vs_true,q_hat_hamming_vs_true,deleted_edge_recovery,added_edge_suppression,q_change_from_noise,q_change_0_to_1,q_change_1_to_0
1,0.7248258220426964,0.7248258220426964,0.0001417259953303652,0.47627347301353107,0.24741928189089804,0.0,0.5433333333333333,0.601953125,0.49909977803194727,5.3676638344768435e-05,0.4023759663105011,0.5960456132888794,0.48252204060554504,0.01712912693619728,0.975,0.9310344827586207,0.9642857142857143,0.9473684210526315,0.970108695652174,0.025,0.0,0.0,0,0,0
2,0.7000114258491632,0.7000114258491632,0.0013433701652419668,0.49185709700439917,0.24674884455673624,0.0,0.5783333333333334,0.6190959821428572,0.49625047533628625,0.0001079439976875261,0.3422502875328064,0.6533704996109009,0.5025408864021301,0.04402894154191017,0.7333333333333333,0.46551724137931033,0.9642857142857143,0.627906976744186,0.9442934782608694,0.26666666666666666,0.5,0.0,60,59,1
3,0.6843655290025653,0.6843655290025653,0.005295818911470247,0.5118135403503071,0.2435451023506396,0.0,0.595,0.642421875,0.4895324904827325,0.00018446124048557866,0.2811032235622406,0.7103868126869202,0.5212333798408508,0.07992804795503616,0.5708333333333333,0.3401360544217687,0.8928571428571429,0.49261083743842365,0.859277950310559,0.42916666666666664,0.5,0.0,99,94,5
4,0.6557187754096407,0.6557187754096407,0.011893595427726254,0.5276839064829277,0.23740191102930994,0.0,0.6216666666666667,0.6622321428571428,0.4799289383040302,0.00032690412141770747,0.22698454558849335,0.7779776453971863,0.5348692536354065,0.10991193354129791,0.5375,0.3202614379084967,0.875,0.4688995215311005,0.8066770186335404,0.4625,0.5,0.0,107,101,6
5,0.6358556693250482,0.6358556693250482,0.01885206291847157,0.5384259738705375,0.23063589880863825,0.0,0.63,0.6710937499999999,0.4785135493737197,0.0005255551399331483,0.19325001537799835,0.819944441318512,0.5406453609466553,0.12840589880943298,0.525,0.3116883116883117,0.8571428571428571,0.45714285714285713,0.7867818322981366,0.475,0.5,0.0,110,103,7
6,0.6246720669847546,0.6246720669847546,0.022824184122410687,0.5404824849331018,0.22635802242792014,0.0,0.6433333333333333,0.6740848214285714,0.4771705128644927,0.0006365932631800233,0.18143250048160553,0.8406667113304138,0.5403682589530945,0.13436084985733032,0.525,0.3116883116883117,0.8571428571428571,0.45714285714285713,0.7874611801242236,0.475,0.5,0.0,110,103,7
7,0.6179740352161003,0.6179740352161003,0.02404774510950753,0.5402134801402236,0.2248958841417775,0.0,0.6416666666666667,0.6763727678571427,0.47718336851823706,0.0006315977035697098,0.1758400797843933,0.8505120277404785,0.5397722125053406,0.13560844957828522,0.5291666666666667,0.3161290322580645,0.875,0.46445497630331756,0.7885287267080745,0.4708333333333333,0.5,0.0,109,103,6
8,0.6168420459284927,0.6168420459284927,0.025411773049695927,0.5397730243928505,0.2232275582624204,0.0,0.64,0.6756138392857143,0.4774540803227544,0.0006656212640474691,0.1627940535545349,0.8573070764541626,0.5393175482749939,0.1373276263475418,0.5333333333333333,0.3181818181818182,0.875,0.4666666666666667,0.7921195652173912,0.4666666666666667,0.5,0.0,108,102,6
9,0.6141055452101158,0.6141055452101158,0.02617077554830096,0.539206146290808,0.22217526851278363,0.0,0.645,0.6779129464285714,0.476306258417466,0.0006639654805467492,0.14638273417949677,0.8663992285728455,0.538399338722229,0.13821087777614594,0.5458333333333333,0.32450331125827814,0.875,0.47342995169082125,0.7960986024844721,0.45416666666666666,0.5,0.0,105,99,6
10,0.6193478477723671,0.6193478477723671,0.0269172006202015,0.53720279805588,0.2210331755605611,0.0,0.6416666666666667,0.6768415178571429,0.4772827050508803,0.0006355310417182574,0.13554054498672485,0.8778179287910461,0.5372986197471619,0.1397600919008255,0.5541666666666667,0.3288590604026846,0.875,0.47804878048780486,0.8009510869565217,0.44583333333333336,0.5,0.0,103,97,6
