epoch,loss_total,loss_rec,loss_weak_q,loss_sparse,loss_binary,loss_coverage,valid_acc,valid_auc,valid_rmse,q_logits_grad_abs_mean,q_soft_min,q_soft_max,q_soft_mean,q_soft_delta_from_init,q_hat_acc_vs_true,q_hat_precision_vs_true,q_hat_recall_vs_true,q_hat_f1_vs_true,q_hat_auc_vs_true,q_hat_hamming_vs_true,deleted_edge_recovery,added_edge_suppression,q_change_from_noise,q_change_0_to_1,q_change_1_to_0
1,0.7317110977389596,0.7248269093759132,0.6884184136535182,0.47627598453651776,0.24742258182077698,0.0,0.5433333333333333,0.6018191964285714,0.49910277907616746,5.362406740129121e-05,0.40303918719291687,0.5954210758209229,0.48248550295829773,0.0168723426759243,0.975,0.9310344827586207,0.9642857142857143,0.9473684210526315,0.9700116459627328,0.025,0.0,0.0,0,0,0
2,0.7069475497260238,0.700039854555419,0.6907696705875974,0.4916381587584813,0.24678847713000845,0.0,0.5766666666666667,0.61859375,0.49628056918173674,0.00010761428006155643,0.3441588282585144,0.6514665484428406,0.5020660161972046,0.04313082620501518,0.7375,0.46956521739130436,0.9642857142857143,0.631578947368421,0.9464285714285714,0.2625,0.5,0.0,59,58,1
3,0.6915110819267504,0.6845257408691175,0.698534341472568,0.5110034427859567,0.24374892449740207,0.0,0.5933333333333334,0.6414843750000001,0.4896665052777996,0.00018341299150823474,0.2841660678386688,0.7068655490875244,0.520067572593689,0.07797719538211823,0.5708333333333333,0.3401360544217687,0.8928571428571429,0.49261083743842365,0.8634510869565217,0.42916666666666664,0.5,0.0,99,94,5
4,0.663280189037323,0.6561619079474247,0.7118279292727961,0.5262055026762413,0.23794485086744482,0.0,0.6216666666666667,0.6614062500000001,0.4801224619331458,0.000324683720519357,0.23040471971035004,0.7730666399002075,0.5331203937530518,0.10696335881948471,0.5416666666666666,0.3223684210526316,0.875,0.47115384615384615,0.8095885093167703,0.4583333333333333,0.5,0.0,106,100,6
5,0.6434804119847037,0.6362137586781473,0.7266651139114843,0.5364495759660547,0.2315151718529788,0.0,0.6266666666666667,0.6706696428571428,0.47861131531741125,0.0005246983121403239,0.19639241695404053,0.8148895502090454,0.5384149551391602,0.1249120756983757,0.5291666666666667,0.3137254901960784,0.8571428571428571,0.45933014354066987,0.7897903726708075,0.4708333333333333,0.5,0.0,109,102,7
6,0.6321833251100598,0.6248255606853601,0.7357762970707633,0.5379961223313303,0.22746818309480493,0.0,0.64,0.6738616071428571,0.4772327056821127,0.0006396015144701144,0.18470698595046997,0.8353591561317444,0.5376166105270386,0.13030220568180084,0.525,0.3116883116883117,0.8571428571428571,0.45714285714285713,0.7914402173913043,0.475,0.5,0.0,110,103,7
7,0.6254723279765158,0.618086989178802,0.7385337939768126,0.5372164809342587,0.22621164583798611,0.0,0.6416666666666667,0.6764955357142857,0.4772380124820543,0.0006373171861262315,0.17945538461208344,0.8443775177001953,0.5365333557128906,0.1309541016817093,0.5291666666666667,0.3161290322580645,0.875,0.46445497630331756,0.7924107142857142,0.4708333333333333,0.5,0.0,109,103,6
8,0.6243537944374662,0.6169358076471271,0.7417985408595114,0.5363230578827135,0.22473902368184293,0.0,0.64,0.6752232142857143,0.477523768845365,0.0006735001674810933,0.17037634551525116,0.8503324389457703,0.535640299320221,0.13211677968502045,0.5416666666666666,0.3223684210526316,0.875,0.47115384615384615,0.7965838509316769,0.4583333333333333,0.5,0.0,106,100,6
9,0.6216465045105327,0.6142098172144457,0.7436688208218777,0.5353402666973345,0.22386678488868655,0.0,0.645,0.6777678571428571,0.4763350726907697,0.0006735782751065651,0.15429390966892242,0.8588904738426208,0.5343368053436279,0.13253046572208405,0.55,0.32666666666666666,0.875,0.47572815533980584,0.8015333850931677,0.45,0.5,0.0,104,98,6
10,0.6269016076217998,0.6194461398955547,0.7455463924191215,0.5329490051125035,0.22289459226709424,0.0,0.64,0.6766294642857142,0.4773281652211345,0.0006461880702497156,0.1440267264842987,0.8701044321060181,0.5328892469406128,0.13364972174167633,0.5625,0.3333333333333333,0.875,0.4827586206896552,0.8062888198757764,0.4375,0.5,0.0,101,95,6
11,0.6267473815065442,0.6192656701261346,0.7481710386998726,0.5322197793108044,0.22167598094904062,0.0,0.6416666666666667,0.6763169642857142,0.47627711569765,0.0006778304814361036,0.13160982728004456,0.8770024180412292,0.5314449071884155,0.13467414677143097,0.5791666666666667,0.34265734265734266,0.875,0.49246231155778897,0.8087150621118013,0.42083333333333334,0.5,0.0,97,91,6
12,0.6217014518651095,0.6142035388585293,0.7497913268479434,0.5308030446370443,0.22095050459558313,0.0,0.6366666666666667,0.6762388392857143,0.47774889893949757,0.0006777919700129353,0.12281535565853119,0.8812692165374756,0.5303024053573608,0.13542543351650238,0.5916666666666667,0.35,0.875,0.5,0.812014751552795,0.4083333333333333,0.5,0.0,94,88,6
13,0.6190645613453605,0.6115554535027706,0.750910713817134,0.5293260939193495,0.22038259876496863,0.0,0.6416666666666667,0.6762723214285714,0.47630441902819576,0.0006397523406617852,0.11414188891649246,0.8887773752212524,0.5279113054275513,0.13598571717739105,0.6125,0.362962962962963,0.875,0.5130890052356021,0.8191964285714286,0.3875,0.5,0.0,89,83,6
14,0.6212462331309463,0.613713441473065,0.7532791215361971,0.5272395854646509,0.21929295473929608,0.0,0.6316666666666667,0.675390625,0.47859205464515847,0.0006711828768443825,0.1056431233882904,0.8927881717681885,0.5267812609672546,0.13804642856121063,0.6083333333333333,0.3602941176470588,0.875,0.5104166666666666,0.8232725155279503,0.39166666666666666,0.5,0.0,90,84,6
15,0.6192673309282823,0.611707043467146,0.7560288084275795,0.5254272457325098,0.21806268100485657,0.0,0.6433333333333333,0.6762611607142859,0.4769344234458322,0.0006645674385998228,0.09902128577232361,0.8978710174560547,0.5245398879051208,0.13907286524772644,0.6208333333333333,0.3684210526315789,0.875,0.5185185185185185,0.8268633540372671,0.37916666666666665,0.5,0.0,87,81,6
16,0.6226925452550253,0.6151047732793924,0.758777405276443,0.5234477700609149,0.21686285079428644,0.0,0.6433333333333333,0.6765625,0.47682372698027614,0.0007108387962392899,0.0917799323797226,0.9010405540466309,0.522381603717804,0.14045077562332153,0.6416666666666667,0.3828125,0.875,0.532608695652174,0.8305512422360248,0.35833333333333334,0.5,0.25,84,77,7
17,0.6183986835407488,0.610794745611422,0.7603935382582925,0.5217866093823404,0.21603998880494724,0.0,0.645,0.6763058035714286,0.47686678562007584,0.0006615116162169161,0.08759641647338867,0.9082038998603821,0.5209386348724365,0.14199921488761902,0.65,0.3888888888888889,0.875,0.5384615384615384,0.8345302795031054,0.35,0.5,0.25,82,75,7
