epoch,loss_total,loss_rec,loss_weak_q,loss_sparse,loss_binary,loss_coverage,valid_acc,valid_auc,valid_rmse,q_hat_acc_vs_true,q_hat_precision_vs_true,q_hat_recall_vs_true,q_hat_f1_vs_true,q_hat_auc_vs_true,q_hat_hamming_vs_true,deleted_edge_recovery,added_edge_suppression,q_change_from_noise,q_change_0_to_1,q_change_1_to_0
1,0.7788837506915584,0.725641956835082,0.5299518695383361,0.39187567161791254,0.20742016285657883,0.0,0.52,0.5883370535714285,0.49977397143713204,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9571040372670807,0.04583333333333333,0.0,0.0,0,0,0
2,0.755097401864601,0.7044755121072134,0.5038074760726003,0.3865933675657619,0.20248874886469406,0.0,0.5533333333333333,0.5926116071428571,0.49883062282281543,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9563276397515529,0.04583333333333333,0.0,0.0,0,0,0
3,0.7433967888355255,0.6950298285845554,0.4813046306371689,0.3830526647242633,0.19818684232957434,0.0,0.5833333333333334,0.6018415178571429,0.49666387116525557,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9515722049689441,0.04583333333333333,0.0,0.0,0,0,0
4,0.7266723477479183,0.6802791393164432,0.46160777680801623,0.38069613232757105,0.19435857958865888,0.0,0.5883333333333334,0.6161941964285715,0.49242613624563497,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.953222049689441,0.04583333333333333,0.0,0.0,0,0,0
5,0.7064912219842275,0.6617300040794142,0.4453185507745454,0.3802619508721612,0.19133865336577097,0.0,0.6,0.6299888392857144,0.48683877614572263,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.952639751552795,0.04583333333333333,0.0,0.0,0,0,0
6,0.677561264146458,0.6342010886380167,0.43133415868788055,0.38055478804039233,0.18871522378740888,0.0,0.595,0.6445870535714286,0.48349316742265847,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9521545031055901,0.04583333333333333,0.0,0.0,0,0,0
7,0.6591393568299033,0.6169878632733317,0.4192720750967662,0.3803088457295389,0.18625190221902096,0.0,0.6133333333333333,0.6530803571428572,0.48349364327835526,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.952057453416149,0.04583333333333333,0.0,0.0,0,0,0
8,0.6527078946431478,0.6117036803202196,0.40782641371091205,0.37925077884486225,0.18364677487900763,0.0,0.615,0.652890625,0.48504050540648647,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.953901397515528,0.04583333333333333,0.0,0.0,0,0,0
9,0.6460992106885621,0.6061152490702543,0.3976492913383426,0.3781048691633976,0.18121637832937817,0.0,0.615,0.6592522321428571,0.48213428356834304,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.953998447204969,0.04583333333333333,0.0,0.0,0,0,0
10,0.6489065406900464,0.6099276158845786,0.387625873540387,0.37657302979267004,0.1786776248252753,0.0,0.6216666666666667,0.6582254464285714,0.4835493331271446,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.954677795031056,0.04583333333333333,0.0,0.0,0,0,0
11,0.6465011744788198,0.6084213076215802,0.37865951070279785,0.3753977156046665,0.17638124977097366,0.0,0.615,0.661640625,0.48128551279402687,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9554541925465838,0.04583333333333333,0.0,0.0,0,0,0
12,0.6359711993824352,0.5987221964380958,0.37037410699959955,0.37415153600952844,0.1741748149647857,0.0,0.615,0.6631026785714285,0.4827405026164532,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9564246894409938,0.04583333333333333,0.0,0.0,0,0,0
13,0.6332054643919973,0.5967850360003385,0.36211236679192743,0.372749948591897,0.17191993761243243,0.0,0.62,0.6638950892857143,0.48131913682021954,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9563276397515528,0.04583333333333333,0.0,0.0,0,0,0
14,0.6335083237200072,0.5978754533059669,0.35426045999382483,0.3713168849547704,0.1696925779635256,0.0,0.625,0.6637165178571429,0.48348786218380196,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9564246894409938,0.04583333333333333,0.0,0.0,0,0,0
15,0.6282226596817826,0.5933252347238136,0.3469286597136295,0.3699759059783184,0.16755986439459253,0.0,0.615,0.66609375,0.48222141659845746,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9564246894409938,0.04583333333333333,0.0,0.0,0,0,0
16,0.6301773705265739,0.5959969126816952,0.3397816031268149,0.36863355699813727,0.1654418476603248,0.0,0.6283333333333333,0.6666294642857143,0.4821979562727793,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9570069875776397,0.04583333333333333,0.0,0.0,0,0,0
17,0.6233522142424728,0.5898690431407003,0.33283083456935303,0.36723922644600726,0.1633617663473794,0.0,0.62,0.6667410714285715,0.4819633689472921,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9570069875776398,0.04583333333333333,0.0,0.0,0,0,0
18,0.6183133721351624,0.5855077703793844,0.3260770697485317,0.3658505985231111,0.16130638709574036,0.0,0.63,0.6668415178571429,0.482388412150594,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9572981366459626,0.04583333333333333,0.0,0.0,0,0,0
19,0.6169367789319067,0.5847830004764326,0.31958094465010095,0.364352335080956,0.15925027859030347,0.0,0.6283333333333333,0.6680468749999999,0.48280507208568396,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9577833850931677,0.04583333333333333,0.0,0.0,0,0,0
20,0.6148548297809832,0.5833328610116785,0.31328417451092694,0.3629753910230868,0.1572541526772759,0.0,0.6283333333333333,0.6690624999999999,0.48138704073936966,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9582686335403726,0.04583333333333333,0.0,0.0,0,0,0
21,0.6095831060048306,0.5786782864368323,0.30713453753428027,0.3614505005605293,0.15522236038338055,0.0,0.6266666666666667,0.6685044642857143,0.4829379447460467,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9593361801242236,0.04583333333333333,0.0,0.0,0,0,0
22,0.6067713950619553,0.5764759706728386,0.30106204657843616,0.3599912036548961,0.1532195181106076,0.0,0.6316666666666667,0.6700892857142857,0.48207438578239287,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9595302795031055,0.04583333333333333,0.0,0.0,0,0,0
23,0.604187982100429,0.5744796923615716,0.29521240384289715,0.3584322662967624,0.15120538278962625,0.0,0.6316666666666667,0.6696763392857142,0.48209798834523815,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9595302795031057,0.04583333333333333,0.0,0.0,0,0,0
24,0.5987951656182607,0.5696616005716901,0.28948613730343903,0.35692983369032544,0.14925428773417618,0.0,0.6316666666666667,0.6708035714285714,0.48256870537705376,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9596273291925466,0.04583333333333333,0.0,0.0,0,0,0
25,0.597052068421335,0.5684781088070436,0.28391135506557696,0.3554016017552578,0.14728601254297025,0.0,0.6316666666666667,0.67140625,0.48282934757764695,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9597243788819876,0.04583333333333333,0.0,0.0,0,0,0
26,0.5940013202753934,0.5659750311663656,0.2784559613827503,0.35379048414302594,0.1453125774860382,0.0,0.63,0.6723214285714285,0.48311016626931647,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9599184782608695,0.04583333333333333,0.0,0.0,0,0,0
27,0.59151034915086,0.5639950642080018,0.27336562582940765,0.35239341087413556,0.1434840221296657,0.0,0.63,0.6710825892857143,0.48442449475833715,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9602096273291926,0.04583333333333333,0.0,0.0,0,0,0
28,0.5957583812150088,0.5687615582437227,0.2682014920494773,0.3508596916993459,0.1415830304225286,0.0,0.63,0.6717745535714286,0.4835717044366713,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9603066770186336,0.04583333333333333,0.0,0.0,0,0,0
29,0.5886803278417299,0.5621775199066509,0.26328160365422565,0.34930150526942627,0.13971899404670252,0.0,0.6283333333333333,0.6736495535714285,0.48283991085373174,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9605007763975155,0.04583333333333333,0.0,0.0,0,0,0
30,0.5856493449572361,0.5596356911189628,0.25840996567047003,0.3478185692519853,0.13787728480317377,0.0,0.6316666666666667,0.6739508928571428,0.48462429584937744,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9608889751552795,0.04583333333333333,0.0,0.0,0,0,0
31,0.5821551432212194,0.5566008185798471,0.25383573815678107,0.3463941564162572,0.13611689526023288,0.0,0.6316666666666667,0.6740290178571429,0.4838063224490311,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9610830745341614,0.04583333333333333,0.0,0.0,0,0,0
32,0.5823473067897739,0.5572469171249506,0.24931559350454446,0.344876559846329,0.1343373739809701,0.0,0.6316666666666667,0.6755803571428571,0.4831084347638014,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9614712732919255,0.04583333333333333,0.0,0.0,0,0,0
33,0.5797809290163445,0.5551160406885725,0.24497916684909302,0.3434957843838316,0.1326241231325901,0.0,0.6316666666666667,0.6750223214285713,0.4821101381719664,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9614712732919255,0.04583333333333333,0.0,0.0,0,0,0
34,0.5800407768198939,0.5558197132565759,0.24056010535269073,0.34196015740885877,0.13085753538391806,0.0,0.63,0.6743303571428572,0.4820681988707726,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9614712732919255,0.04583333333333333,0.0,0.0,0,0,0
35,0.5806758765018347,0.5568698585936518,0.2364275518691901,0.3405910138830994,0.12920421903783624,0.0,0.6316666666666667,0.6749553571428571,0.4813674046277715,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9610830745341614,0.04583333333333333,0.0,0.0,0,0,0
36,0.5737401409582659,0.5503327516895352,0.23245884320049576,0.3392510608290181,0.1275779866811001,0.0,0.635,0.6757700892857142,0.4829695034609432,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9613742236024845,0.04583333333333333,0.0,0.0,0,0,0
37,0.5723101207704255,0.5492834385597345,0.22866897533337274,0.33792901039123535,0.12599063258279453,0.0,0.6383333333333333,0.6765736607142858,0.4832709186917353,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9616653726708075,0.04583333333333333,0.0,0.0,0,0,0
38,0.5681942010467703,0.5455668690529737,0.22469340400262314,0.3365005918524482,0.12433808274341351,0.0,0.635,0.6752455357142856,0.4841555769642586,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9614712732919255,0.04583333333333333,0.0,0.0,0,0,0
39,0.5697680454362523,0.5474958076621547,0.2211587903174487,0.33522687175057153,0.12284091758457097,0.0,0.63,0.6763616071428572,0.4824360970063382,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9616653726708074,0.04583333333333333,0.0,0.0,0,0,0
40,0.5669281527851567,0.5450131540948694,0.21760316215681308,0.333876371383667,0.12129275568506935,0.0,0.635,0.6763839285714286,0.48319216300540246,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9616653726708074,0.04583333333333333,0.0,0.0,0,0,0
41,0.563250740369161,0.5416813411495902,0.21416333453221756,0.33263283290646295,0.11980642400907748,0.0,0.6366666666666667,0.6772209821428571,0.48439261685871265,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9614712732919254,0.04583333333333333,0.0,0.0,0,0,0
42,0.5661225346001711,0.5448848979942726,0.21086143973198804,0.33141383573864447,0.11835099339033618,0.0,0.63,0.6766629464285714,0.48247643442489807,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9615683229813665,0.04583333333333333,0.0,0.0,0,0,0
43,0.5612154097268076,0.5403096129496893,0.20755893556457577,0.3301256727991682,0.11688798677289125,0.0,0.63,0.6768749999999999,0.4838710651366156,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9616653726708075,0.04583333333333333,0.0,0.0,0,0,0
44,0.5600430432594183,0.5394524959000674,0.20442179635618674,0.3288912899566419,0.11547853323546323,0.0,0.6333333333333333,0.6770312500000001,0.4831059342096492,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9619565217391304,0.04583333333333333,0.0,0.0,0,0,0
45,0.5561306363705433,0.535853286132668,0.20130485183361804,0.32769582849560364,0.11409456587650559,0.0,0.6316666666666667,0.6759263392857142,0.4864277812647827,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9622476708074534,0.04583333333333333,0.0,0.0,0,0,0
46,0.5580121572270538,0.5380365902727301,0.19830172170292248,0.326524431958343,0.11274336741277666,0.0,0.6266666666666667,0.6762946428571428,0.4834836056099011,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9624417701863354,0.04583333333333333,0.0,0.0,0,0,0
47,0.5569101404963117,0.5372402586720206,0.19526003368876196,0.3252647352038008,0.1113517392765392,0.0,0.6316666666666667,0.6760602678571429,0.48504874219187954,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9625388198757765,0.04583333333333333,0.0,0.0,0,0,0
48,0.5541120013504317,0.5347281581524647,0.19241380375443082,0.32414133756449726,0.11004356915752093,0.0,0.6333333333333333,0.6758258928571429,0.48475445481026413,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9623447204968945,0.04583333333333333,0.0,0.0,0,0,0
49,0.5528230378122041,0.5337152914567427,0.18966689931623865,0.3230142060554389,0.10875837188778502,0.0,0.635,0.6763504464285715,0.4829268121256017,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9619565217391305,0.04583333333333333,0.0,0.0,0,0,0
50,0.5501219399950721,0.5312864486918305,0.18695792894471774,0.3219183109926455,0.10750245641578328,0.0,0.63,0.6757142857142857,0.4858468019840787,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9620535714285714,0.04583333333333333,0.0,0.0,0,0,0
51,0.5488883365284313,0.5303167727860537,0.18433235675999612,0.32078329315691284,0.10624377147266359,0.0,0.64,0.6774107142857143,0.48600358269355054,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9622476708074534,0.04583333333333333,0.0,0.0,0,0,0
52,0.5508490976962176,0.5325389924374494,0.1817311244932088,0.31972277706319635,0.10502111731153546,0.0,0.6283333333333333,0.6754017857142857,0.4851573454079281,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9622476708074534,0.04583333333333333,0.0,0.0,0,0,0
53,0.5516942748517701,0.5336340751611826,0.17924500911524802,0.3186761633013234,0.10383179783821106,0.0,0.6333333333333333,0.6754241071428573,0.48547288341433525,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9625388198757764,0.04583333333333333,0.0,0.0,0,0,0
54,0.546233670278029,0.5284145736333096,0.1768464452841065,0.31767846508459613,0.10268372534350916,0.0,0.6333333333333333,0.6756138392857143,0.48665565014152606,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9628299689440993,0.04583333333333333,0.0,0.0,0,0,0
55,0.542886645956473,0.5252952584714601,0.1745815220655817,0.3166978232788317,0.10156444223089652,0.0,0.6366666666666667,0.678359375,0.4849113073501088,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9628299689440993,0.04583333333333333,0.0,0.0,0,0,0
56,0.5409755941593286,0.5236167465195511,0.1722682983134732,0.31572346344138635,0.10044770981326248,0.0,0.6266666666666667,0.6768415178571429,0.48648796084399126,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9634122670807453,0.04583333333333333,0.0,0.0,0,0,0
57,0.5431209459449305,0.5259805416518991,0.1700954143748139,0.31479750031774695,0.0993771625287605,0.0,0.6366666666666667,0.677265625,0.48596191289164464,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9635093167701864,0.04583333333333333,0.0,0.0,0,0,0
58,0.5380085887330951,0.5210951295765963,0.1678380702029575,0.31382775261546625,0.09827027876268733,0.0,0.6466666666666666,0.6770647321428571,0.4859999194070251,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9630240683229814,0.04583333333333333,0.0,0.0,0,0,0
59,0.5372344363819469,0.5205343595959924,0.1657160446047783,0.3128414542386026,0.09718580431107318,0.0,0.63,0.6784821428571429,0.48480843559429293,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9635093167701864,0.04583333333333333,0.0,0.0,0,0,0
60,0.5406916502750281,0.5242037429954066,0.16360584962548633,0.3118888491933996,0.0961294909092513,0.0,0.63,0.677421875,0.4863846542939755,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9638975155279502,0.04583333333333333,0.0,0.0,0,0,0
61,0.5377669664043369,0.5214775484619718,0.16163166905894424,0.31106619807806885,0.0951486262633945,0.0,0.6333333333333333,0.6764397321428572,0.4858512544384762,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9643827639751553,0.04583333333333333,0.0,0.0,0,0,0
62,0.5332867214173982,0.5172071068575887,0.15954536989782797,0.31006362492387946,0.0940691325249094,0.0,0.6266666666666667,0.6773325892857142,0.48617928954431566,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9642857142857143,0.04583333333333333,0.0,0.0,0,0,0
63,0.53368686681444,0.5177956024805704,0.15767225713440866,0.3092460334300995,0.09311680473161466,0.0,0.6233333333333333,0.6767410714285714,0.4871511748029474,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9646739130434783,0.04583333333333333,0.0,0.0,0,0,0
64,0.536729322238402,0.5210260134754758,0.1558031335924611,0.30839907265070715,0.09215271134268153,0.0,0.6366666666666667,0.6775334821428571,0.4876711396486799,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9645768633540373,0.04583333333333333,0.0,0.0,0,0,0
65,0.5342252787315485,0.5187140500003641,0.15389324137658783,0.3074822461966312,0.09115604108030145,0.0,0.6283333333333333,0.6768526785714286,0.48739925087574115,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9648680124223602,0.04583333333333333,0.0,0.0,0,0,0
66,0.5329326052557338,0.5176114986340205,0.15200261026620865,0.306628532481916,0.09018276744719708,0.0,0.625,0.6772209821428572,0.4858244503373969,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9648680124223602,0.04583333333333333,0.0,0.0,0,0,0
67,0.5327232312975507,0.5175818787379698,0.1502150965459419,0.3058090033856305,0.08926217686949355,0.0,0.63,0.6762834821428572,0.4873074528529387,0.9541666666666667,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9656444099378881,0.04583333333333333,0.0,0.0,0,0,0
