epoch,loss_total,loss_rec,loss_weak_q,loss_sparse,loss_binary,loss_coverage,valid_acc,valid_auc,valid_rmse,q_hat_acc_vs_true,q_hat_precision_vs_true,q_hat_recall_vs_true,q_hat_f1_vs_true,q_hat_auc_vs_true,q_hat_hamming_vs_true,deleted_edge_recovery,added_edge_suppression,q_change_from_noise,q_change_0_to_1,q_change_1_to_0
1,0.724910063273979,0.724910063273979,0.0,0.23333333432674408,0.0,0.0,0.52,0.5869866071428571,0.4990382264601578,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,22,8,14
2,0.7029251131144437,0.7029251131144437,0.0,0.23333333432674408,0.0,0.0,0.5566666666666666,0.5997433035714286,0.49762812617197555,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,22,8,14
3,0.6913871322617386,0.6913871322617386,0.0,0.23333333432674408,0.0,0.0,0.5566666666666666,0.6061383928571429,0.49473774343214844,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,22,8,14
4,0.67494761763197,0.67494761763197,0.0,0.23333333432674408,0.0,0.0,0.585,0.619765625,0.4906382695201699,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,22,8,14
5,0.6573071642355486,0.6573071642355486,0.0,0.23333333432674408,0.0,0.0,0.61,0.6454464285714285,0.48470593189452194,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,22,8,14
6,0.6246189466028502,0.6246189466028502,0.0,0.23333333432674408,0.0,0.0,0.63,0.6684933035714287,0.47818574356640964,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,22,8,14
7,0.5814369086063269,0.5814369086063269,0.0,0.23333333432674408,0.0,0.0,0.63,0.6768638392857143,0.4773670984782358,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,22,8,14
8,0.552337952635505,0.552337952635505,0.0,0.23333333432674408,0.0,0.0,0.6366666666666667,0.6840848214285714,0.47863339009504813,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,22,8,14
9,0.5325370972806757,0.5325370972806757,0.0,0.23333333432674408,0.0,0.0,0.64,0.6851116071428571,0.4816081129044201,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,22,8,14
10,0.5297750780979792,0.5297750780979792,0.0,0.23333333432674408,0.0,0.0,0.6433333333333333,0.6891741071428572,0.4823720193076563,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,22,8,14
