,user_id,item_id,score
0,1614,12976,1.0
1,781,13123,0.0
2,1083,16474,0.0
3,592,8689,0.0
4,126,14224,1.0
5,1442,5748,1.0
6,436,15914,1.0
7,914,16560,0.0
8,54,989,1.0
9,3127,7845,1.0
10,436,2523,1.0
11,480,8682,0.0
12,1056,14655,0.0
13,932,13056,0.0
14,143,13179,1.0
15,44,5985,0.0
16,741,5633,1.0
17,3118,15647,1.0
18,2341,5634,0.0
19,49,2745,1.0
20,126,676,0.0
21,105,360,1.0
22,47,9995,1.0
23,491,10383,0.0
24,2219,7413,1.0
25,2491,12161,1.0
26,482,1326,0.0
27,765,5014,0.0
28,2127,9151,0.0
29,49,15828,0.0
30,3166,12806,1.0
31,473,11492,1.0
32,1116,9177,1.0
33,474,14443,1.0
34,77,7735,1.0
35,479,10825,1.0
36,2977,12121,0.0
37,890,15324,0.0
38,1049,11011,0.0
39,1014,14805,0.0
40,153,6878,1.0
41,2694,7816,0.0
42,618,6085,0.0
43,1129,12328,1.0
44,3368,14420,1.0
45,1001,3595,1.0
46,473,3854,0.0
47,2373,15815,1.0
48,2791,15087,1.0
49,207,3604,1.0
50,1512,8536,0.0
51,161,7376,0.0
52,135,6480,1.0
53,68,1728,1.0
54,490,16483,0.0
55,110,8457,1.0
56,490,13997,0.0
57,458,13034,1.0
58,1341,8300,0.0
59,497,14004,1.0
60,2466,11967,0.0
61,2004,4857,0.0
62,946,2300,0.0
63,477,8789,1.0
64,669,2056,0.0
65,2550,6470,1.0
66,96,14803,0.0
67,2455,5740,0.0
68,60,6285,1.0
69,463,4007,0.0
70,455,15538,0.0
71,113,13809,1.0
72,798,176,0.0
73,1415,13592,1.0
74,439,15440,1.0
75,2033,15070,0.0
76,438,11449,1.0
77,472,16546,0.0
78,3138,12337,0.0
79,3006,11944,0.0
80,2689,13100,1.0
81,70,8962,1.0
82,84,5052,0.0
83,590,5434,0.0
84,2186,13007,1.0
85,2417,10339,1.0
86,693,319,0.0
87,883,14568,1.0
88,470,11437,1.0
89,2373,12495,1.0
90,1036,1212,0.0
91,511,12521,1.0
92,306,1219,0.0
93,90,1520,1.0
94,717,14574,0.0
95,107,333,0.0
96,176,1913,1.0
97,48,7086,1.0
98,97,7781,1.0
99,66,11501,1.0
100,1204,1847,1.0
101,37,1596,1.0
102,2556,5721,1.0
103,90,6314,0.0
104,2625,7142,1.0
105,2280,7820,1.0
106,73,2507,0.0
107,494,2522,0.0
108,1578,3009,1.0
109,105,5443,1.0
110,2625,8808,1.0
111,128,1249,1.0
112,885,11628,0.0
113,193,7262,0.0
114,495,37,1.0
115,134,954,1.0
116,2829,11920,1.0
117,1480,7223,1.0
118,426,14704,1.0
119,558,5615,0.0
120,60,14910,1.0
121,744,6341,1.0
122,2295,6910,1.0
123,152,8608,1.0
124,80,1486,1.0
125,896,10440,1.0
126,2163,7844,1.0
127,472,16540,0.0
128,1352,5501,0.0
129,1360,3127,0.0
130,1044,6082,0.0
131,718,6748,1.0
132,107,2468,1.0
133,61,16372,1.0
134,467,3987,0.0
135,277,15124,0.0
136,73,8937,1.0
137,1007,15533,0.0
138,929,1591,1.0
139,1735,8305,0.0
140,1079,14943,1.0
141,524,12729,1.0
142,504,7767,1.0
143,3417,9281,1.0
144,424,2023,1.0
145,4046,15569,0.0
146,558,140,1.0
147,1847,16558,1.0
148,107,14110,0.0
149,498,6212,1.0
150,1514,8289,1.0
151,12,3513,1.0
152,1229,10069,1.0
153,870,14504,1.0
154,1705,3128,0.0
155,217,16297,1.0
156,126,3978,0.0
157,3608,14675,1.0
158,484,15198,1.0
159,179,10067,1.0
160,2098,8249,0.0
161,925,1818,0.0
162,2191,7436,1.0
163,2801,10223,1.0
164,448,313,1.0
165,670,10158,1.0
166,2692,12405,1.0
167,1139,1371,1.0
168,2175,13081,1.0
169,97,3931,0.0
170,583,6623,1.0
171,2154,7450,1.0
172,2191,6323,1.0
173,890,15955,1.0
174,498,15832,1.0
175,2150,14556,1.0
176,88,15839,1.0
177,2453,16118,1.0
178,8,10083,1.0
179,225,14605,0.0
180,79,9651,1.0
181,436,15465,1.0
182,865,15716,0.0
183,2303,7168,1.0
184,1016,1410,1.0
185,469,14738,0.0
186,3154,8592,1.0
187,2942,10219,1.0
188,2441,8146,1.0
189,889,5793,1.0
190,101,15079,1.0
191,131,408,1.0
192,1055,12130,0.0
193,466,8242,0.0
194,930,2623,0.0
195,443,1734,1.0
196,1990,13072,0.0
197,451,9247,1.0
198,23,8313,1.0
199,3433,9171,1.0
200,925,15951,1.0
201,2209,12173,1.0
202,2315,7449,0.0
203,2182,5602,0.0
204,101,9249,1.0
205,2274,11902,1.0
206,216,14535,0.0
207,68,1250,1.0
208,897,14749,1.0
209,148,16662,1.0
210,5,15742,0.0
211,2221,8897,1.0
212,509,4207,0.0
213,826,7530,1.0
214,868,13976,1.0
215,74,16094,1.0
216,77,1938,0.0
217,2162,5796,0.0
218,438,8948,0.0
219,490,14917,1.0
220,1330,5548,1.0
221,487,16387,1.0
222,129,13989,1.0
223,444,15830,0.0
224,87,13203,1.0
225,2209,7447,1.0
226,83,4003,0.0
227,427,10272,1.0
228,134,4666,1.0
229,441,91,1.0
230,437,1922,1.0
231,510,8125,1.0
232,470,4650,0.0
233,1017,15104,1.0
234,2821,7732,1.0
235,3832,13128,0.0
236,82,14142,1.0
237,110,1358,1.0
238,64,14581,0.0
239,132,2802,1.0
240,125,15507,1.0
241,486,3938,1.0
242,115,2969,1.0
243,2802,5996,0.0
244,2682,7872,1.0
245,480,14787,0.0
246,90,8367,0.0
247,2823,10042,1.0
248,81,15785,1.0
249,1014,1184,0.0
250,2180,5673,1.0
251,585,167,0.0
252,1053,15166,1.0
253,105,13786,0.0
254,58,13648,0.0
255,902,10348,0.0
256,446,5616,0.0
257,671,12005,1.0
258,425,13759,1.0
259,96,15402,1.0
260,487,6208,1.0
261,1538,3008,1.0
262,3404,9509,0.0
263,62,3980,1.0
264,113,4695,1.0
265,2098,8789,0.0
266,919,14894,1.0
267,732,5433,0.0
268,486,6210,1.0
269,464,13452,1.0
