user_id,item_id,score
0,3,1
0,7,1
0,5,1
0,10,1
0,9,1
0,15,0
0,12,1
0,1,1
0,13,1
0,17,0
0,19,0
0,0,1
0,8,1
0,6,1
0,16,1
0,18,0
0,14,0
0,11,1
0,4,1
0,2,1
1,13,0
1,2,1
1,15,0
1,6,1
1,19,0
1,14,0
1,3,0
1,1,0
1,17,1
1,7,1
1,5,1
1,12,0
1,16,0
1,8,0
1,9,1
1,10,1
1,11,1
1,4,1
1,0,1
1,18,0
2,3,0
2,16,0
2,18,0
2,5,0
2,7,0
2,15,0
2,0,1
2,2,0
2,11,1
2,12,0
2,19,0
2,1,1
2,17,0
2,9,1
2,10,0
2,13,0
2,6,1
2,8,0
2,4,0
2,14,0
5,2,0
5,16,0
5,13,0
5,14,0
5,4,0
5,12,0
5,3,1
5,7,0
5,5,1
5,1,0
5,10,0
5,0,1
5,9,1
5,15,0
5,18,0
5,11,1
5,17,0
5,8,0
5,19,0
5,6,1
6,14,0
6,11,0
6,18,0
6,8,1
6,1,1
6,13,1
6,4,1
6,9,1
6,19,0
6,7,0
6,10,0
6,16,0
6,12,0
6,17,0
6,6,1
6,0,1
6,2,1
6,15,0
6,3,1
6,5,1
7,13,0
7,14,0
7,8,0
7,6,0
7,10,0
7,3,1
7,9,0
7,4,0
7,2,1
7,12,0
7,16,0
7,0,1
7,18,0
7,7,1
7,5,0
7,1,0
7,19,0
7,17,0
7,15,0
7,11,0
8,15,0
8,4,1
8,17,0
8,12,0
8,0,1
8,18,0
8,2,1
8,3,1
8,14,0
8,1,1
8,5,1
8,7,1
8,6,1
8,10,0
8,11,1
8,9,0
8,8,0
8,19,0
8,16,0
8,13,0
9,8,0
9,10,0
9,2,0
9,7,1
9,12,0
9,19,0
9,14,0
9,9,0
9,15,0
9,6,1
9,5,1
9,3,1
9,16,0
9,13,0
9,11,1
9,1,1
9,0,1
9,4,1
9,18,0
9,17,0
15,12,1
15,7,1
15,13,0
15,2,1
15,1,1
15,18,0
15,11,0
15,10,1
15,8,0
15,9,0
15,3,0
15,0,1
15,15,0
15,16,0
15,6,1
15,5,1
15,14,0
15,17,0
15,19,0
15,4,1
16,13,1
16,8,0
16,0,1
16,15,0
16,17,0
16,9,0
16,18,0
16,6,1
16,4,1
16,19,0
16,7,0
16,1,1
16,12,0
16,2,0
16,3,1
16,5,1
16,14,0
16,16,0
16,11,0
16,10,1
17,16,0
17,10,0
17,1,0
17,15,0
17,14,0
17,6,1
17,7,0
17,9,0
17,8,0
17,11,1
17,0,1
17,3,0
17,2,1
17,19,0
17,4,1
17,13,0
17,5,0
17,18,0
17,12,0
17,17,0
18,9,1
18,2,0
18,19,0
18,17,0
18,6,1
18,11,0
18,16,0
18,13,0
18,1,1
18,5,1
18,10,0
18,0,1
18,12,0
18,7,1
18,8,0
18,3,0
18,18,0
18,4,0
18,15,0
18,14,0
19,5,0
19,18,0
19,17,1
19,13,1
19,9,1
19,16,1
19,10,1
19,1,1
19,19,0
19,4,1
19,14,0
19,8,1
19,15,0
19,11,1
19,12,1
19,2,1
19,7,0
19,6,0
19,3,1
19,0,1
21,7,0
21,15,0
21,0,0
21,16,0
21,13,0
21,10,0
21,5,0
21,18,0
21,3,1
21,19,0
21,6,1
21,4,1
21,17,0
21,11,0
21,1,1
21,12,0
21,14,0
21,2,0
21,8,0
21,9,0
22,8,0
22,15,0
22,11,0
22,2,1
22,0,1
22,3,0
22,14,0
22,18,0
22,12,1
22,5,0
22,16,0
22,1,0
22,13,0
22,9,1
22,6,1
22,19,0
22,17,0
22,10,0
22,7,0
22,4,1
27,11,1
27,13,1
27,4,0
27,16,0
27,1,0
27,2,0
27,18,0
27,9,1
27,8,1
27,10,0
27,7,0
27,6,0
27,17,0
27,12,0
27,14,0
27,5,0
27,15,0
27,0,1
27,19,0
27,3,0
29,8,0
29,15,0
29,7,1
29,3,1
29,10,0
29,12,0
29,2,1
29,19,0
29,6,1
29,1,0
29,11,0
29,13,1
29,17,0
29,5,0
29,0,1
29,18,0
29,16,0
29,4,0
29,14,0
29,9,0
30,17,0
30,6,1
30,0,1
30,10,1
30,9,1
30,18,0
30,7,1
30,19,0
30,5,0
30,4,1
30,8,0
30,2,0
